"1733 き供 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"36,396,472","2,538,486,979","16,868",94.50,12/31,41.00,9/24,60.29
91,"123,943,373","10,666,641,579","70,849",126.50,1/23,45.30,10/01,79.66
92,"103,271,274","4,119,576,196","51,844",54.00,1/09,31.50,8/29,38.86
93,"110,882,962","3,703,212,852","46,834",47.00,1/02,21.20,12/06,32.11
94,"141,235,130","3,479,823,547","51,347",28.90,7/13,21.60,10/27,23.91
95,"182,793,187","6,271,697,152","64,420",47.20,11/07,24.80,1/02,31.66
96,"312,766,129","23,788,271,732","146,850",115.50,7/18,43.40,1/02,70.44
97,"212,018,794","12,337,220,053","112,387",79.00,4/18,38.80,10/28,56.43
98,"444,740,925","26,503,135,347","224,922",68.00,11/26,43.30,1/13,57.01
99,"325,227,066","22,096,838,297","172,380",79.10,10/05,53.60,2/06,65.90
100,"158,028,927","10,544,513,039","93,957",75.80,6/08,56.00,10/04,64.94
101,"210,536,333","15,953,833,881","130,332",86.90,5/08,59.70,1/02,75.16
102,"119,689,523","9,152,738,147","83,851",84.50,4/25,66.10,12/20,75.67
程蔼基,ら戳,程基,ら戳
126.50, 91/1/23,21.20, 93/12/06
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
