"1810 ㎝Θ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
86,"541,050,945","24,208,139,500","141,053",57.00,3/19,29.40,12/01,41.92
87,"461,979,812","14,314,796,939","108,737",40.80,4/10,16.00,12/31,27.68
88,"400,937,243","6,032,224,232","79,123",19.40,5/11,10.50,12/28,14.02
89,"419,253,603","5,175,852,846","77,395",18.10,2/21,4.78,11/21,10.95
90,"919,896,099","9,170,262,949","179,943",14.50,4/02,5.20,10/09,9.36
91,"1,088,975,086","8,755,518,225","166,613",10.10,4/30,5.00,10/01,7.39
92,"1,342,092,723","12,247,655,704","196,026",11.80,1/22,5.30,5/02,8.23
93,"1,054,598,193","13,029,320,849","162,257",16.10,3/16,7.60,8/18,10.44
94,"399,628,665","3,595,172,820","68,502",11.50,1/04,6.16,10/28,8.10
95,"797,531,050","8,040,665,334","141,240",15.70,12/29,6.20,3/24,7.97
96,"1,351,570,933","21,065,966,176","276,613",21.25,7/30,8.80,12/21,13.92
97,"564,408,418","6,976,731,249","127,997",17.60,5/20,5.50,9/19,9.81
98,"578,522,711","5,339,889,660","124,712",12.00,12/24,6.03,3/03,8.62
99,"681,770,536","7,995,102,995","150,930",13.40,8/23,10.00,2/05,11.26
100,"289,972,366","3,216,518,903","75,992",12.70,1/03,6.56,12/20,10.21
101,"197,684,079","1,800,793,020","53,273",10.90,3/27,6.91,1/13,8.66
102,"298,108,653","3,034,219,275","80,486",12.10,10/30,8.58,4/16,9.69
程蔼基,ら戳,程基,ら戳
57.00, 86/3/19,4.78, 89/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
