"2007 闙砍 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"838,544,470","31,661,199,579","313,377",50.00,4/12,20.00,1/16,35.94
81,"550,479,033","15,204,539,017","169,560",35.80,1/29,17.20,12/29,25.70
82,"1,342,066,182","30,226,254,860","267,216",28.80,5/12,16.40,1/08,21.22
83,"2,137,904,605","55,609,561,844","365,560",36.50,12/30,20.10,10/11,24.02
84,"2,213,767,155","62,200,665,450","390,061",38.90,2/15,16.00,8/14,24.04
85,"1,558,237,881","31,137,438,050","253,174",24.10,4/26,16.10,11/11,19.13
86,"1,516,854,241","28,822,332,123","247,259",26.90,4/09,10.00,11/15,16.72
87,"659,017,358","7,734,381,970","96,010",14.70,4/16,7.10,12/31,11.01
88,"1,211,322,009","13,286,859,162","153,872",14.00,5/05,6.60,2/05,9.82
89,"534,329,895","4,369,143,596","76,123",12.80,2/21,1.61,11/21,6.53
90,"249,858,673","500,320,736","28,390",3.73,2/21,0.46,11/29,1.78
91,"1,893,207,822","6,700,367,755","190,106",4.95,6/17,0.75,1/07,3.15
92,"3,766,866,688","22,111,449,462","453,251",9.10,2/07,3.00,5/06,5.64
93,"3,642,054,936","35,715,511,013","558,351",13.40,3/05,6.00,1/14,9.15
94,"1,033,958,143","6,414,018,860","173,014",9.55,1/18,3.26,11/09,5.93
95,"1,474,218,535","6,286,986,575","203,014",5.50,4/12,2.55,9/15,3.97
96,"1,198,439,405","9,106,228,744","187,917",11.80,4/17,3.89,1/11,7.55
97,"541,751,034","3,842,700,986","114,905",10.20,5/23,2.24,10/30,5.61
98,"465,045,958","2,192,266,295","87,426",8.78,8/31,2.75,3/03,4.85
99,"290,889,221","2,357,141,128","70,238",9.10,4/15,6.31,2/06,7.85
100,"136,244,441","1,024,964,735","44,734",9.18,2/09,3.71,12/19,6.94
101,"86,604,591","471,901,448","25,206",6.80,2/20,4.10,1/18,5.13
102,"177,804,718","1,354,648,691","49,055",8.58,1/10,6.20,11/19,7.17
程蔼基,ら戳,程基,ら戳
50.00, 80/4/12,0.46, 90/11/29
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
