"2008 高興昌 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"1,493,844,999","59,488,597,559","481,047",55.00,5/06,20.70,1/17,38.55
81,"887,368,016","30,578,144,135","229,414",43.30,2/27,17.70,12/29,30.84
82,"1,484,976,813","38,882,240,410","297,379",34.00,4/03,15.50,1/08,24.57
83,"3,258,306,624","95,487,997,128","514,850",42.50,12/31,20.60,10/11,25.25
84,"1,908,127,184","72,153,154,896","312,499",64.50,5/15,15.50,8/15,36.39
85,"650,057,906","16,529,480,468","131,838",31.20,6/24,19.60,2/07,25.03
86,"765,716,188","23,110,362,282","144,535",36.80,5/10,20.10,10/29,28.47
87,"797,928,490","21,244,554,289","142,732",32.20,4/07,15.40,12/31,24.50
88,"308,907,200","4,080,256,165","59,605",19.00,5/05,7.10,11/05,12.27
89,"226,836,686","1,994,713,814","40,683",12.30,2/21,3.31,11/22,7.19
90,"46,151,829","198,017,404","10,639",5.70,2/06,2.70,7/26,4.08
91,"360,622,298","3,052,668,436","75,245",12.30,8/27,3.31,1/30,6.78
92,"477,346,543","4,767,280,566","102,841",12.60,11/18,6.10,5/05,9.20
93,"1,186,969,105","17,345,018,204","241,775",17.90,12/23,8.40,8/18,12.44
94,"564,861,212","6,946,245,213","133,815",16.90,3/01,5.23,12/14,9.88
95,"299,391,115","2,051,743,750","69,504",8.68,5/16,4.41,9/15,6.28
96,"427,011,746","3,855,165,370","96,468",12.20,7/26,5.96,2/12,8.14
97,"459,419,607","5,015,090,470","117,127",14.50,5/20,3.81,10/28,8.46
98,"304,337,916","1,982,288,579","74,532",8.46,6/03,3.94,3/02,6.06
99,"431,537,171","3,817,466,348","96,996",11.50,4/15,6.60,1/04,8.38
100,"24,424,414","142,460,766","5,343",7.48,1/12,3.85,12/15,5.44
101,"29,221,698","178,201,633","4,745",8.50,9/07,3.83,1/02,5.63
102,"149,784,189","1,669,014,715","28,255",15.05,12/31,6.50,1/10,9.33
近年最高價,日期,近年最低價,日期
64.50, 84/5/15,2.70, 90/7/26
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
