"2024 в羛 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"165,000","4,224,000",45,25.60,12/30,25.60,12/30,25.60
85,"493,025,978","13,332,440,971","79,943",33.50,12/31,20.70,9/09,25.76
86,"593,879,557","35,665,582,294","132,771",114.00,6/24,27.10,12/02,72.97
87,"882,569,512","24,176,550,133","205,162",44.70,4/08,9.40,12/31,27.58
88,"377,081,903","4,215,602,487","65,511",15.10,5/05,4.20,12/17,9.25
89,"221,037,101","1,250,900,459","33,133",10.15,2/21,1.26,12/30,4.30
90,"85,852,991","151,258,112","11,540",3.04,2/21,0.26,12/07,1.35
91,"165,530,900","467,787,645","20,268",4.07,7/25,0.31,1/04,2.27
92,"444,868,436","1,749,231,162","63,949",5.90,2/07,2.30,5/06,3.55
93,"882,756,270","6,671,436,427","156,610",12.00,3/05,3.38,1/02,7.02
94,"146,309,921","690,564,637","32,193",7.05,1/04,3.20,10/20,4.60
95,"125,004,181","831,000,978","30,649",9.90,12/29,3.77,3/23,5.20
96,"177,602,322","1,588,490,698","42,031",11.15,4/17,5.02,12/24,8.09
97,"422,709,525","4,097,144,465","103,546",13.55,5/20,3.84,10/28,7.61
98,"265,240,537","1,469,396,577","56,269",6.75,4/14,4.13,3/03,5.28
99,"188,695,930","1,317,055,106","44,300",8.20,1/12,5.35,2/06,6.73
100,"178,919,357","1,583,599,392","43,396",10.10,1/13,6.85,8/09,8.44
101,"45,905,237","329,435,562","13,654",9.20,2/21,4.82,11/07,6.36
102,"57,299,819","377,936,187","15,083",7.91,12/13,5.49,8/06,6.41
程蔼基,ら戳,程基,ら戳
114.00, 86/6/24,0.26, 90/12/07
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
