"2031 穝葵 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"30,942,901","318,053,316","9,579",15.20,9/11,7.30,12/30,9.82
90,"54,376,875","458,874,842","14,771",10.80,2/07,4.25,9/20,6.96
91,"1,118,401,764","30,154,712,274","284,408",34.80,6/11,5.70,1/09,22.13
92,"1,116,266,863","36,574,744,981","318,628",42.00,1/21,24.70,4/28,31.55
93,"1,393,858,567","71,785,451,877","400,422",67.50,3/15,36.10,1/02,50.46
94,"385,536,670","11,707,257,529","128,699",50.50,1/03,13.30,11/10,30.05
95,"671,973,658","14,504,907,466","194,115",29.20,4/19,14.10,1/05,19.97
96,"967,561,345","27,548,895,646","281,209",35.50,11/15,20.10,8/17,27.16
97,"1,167,189,907","42,545,244,660","370,653",55.80,5/20,11.00,10/28,31.59
98,"1,498,555,303","35,915,196,303","422,437",34.75,12/31,12.35,3/03,22.94
99,"1,013,021,998","31,633,040,798","346,117",38.60,1/12,23.20,6/09,30.15
100,"497,728,950","15,410,680,060","192,255",38.80,2/09,15.60,11/24,27.45
101,"163,025,097","3,414,549,335","68,460",26.30,2/20,16.30,10/26,19.70
102,"159,467,137","3,169,434,515","67,642",23.80,1/10,17.20,7/08,19.23
程蔼基,ら戳,程基,ら戳
67.50, 93/3/15,4.25, 90/9/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
