"2033 ㄎ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"6,053,729","52,296,712","2,020",16.30,9/11,4.49,11/24,7.84
90,"18,064,696","127,235,328","7,114",8.95,2/06,4.84,9/24,6.60
91,"689,994,210","13,799,200,733","147,040",35.20,7/04,5.20,1/24,15.11
92,"314,669,412","4,391,313,433","86,099",19.90,1/24,9.80,5/02,12.40
93,"332,340,198","4,644,207,469","79,541",19.20,3/04,10.40,5/18,12.73
94,"67,481,821","770,506,148","16,771",13.50,3/30,6.99,10/31,10.34
95,"46,526,704","420,002,937","14,002",10.90,12/29,7.23,9/15,8.23
96,"104,915,343","1,123,347,366","26,465",12.75,4/17,8.85,8/20,10.18
97,"218,666,438","4,311,517,108","65,767",48.40,12/22,7.20,1/29,21.32
98,"230,810,284","6,307,922,981","98,737",69.20,2/09,16.55,6/22,29.13
99,"76,965,952","1,503,130,032","35,820",24.20,1/04,15.90,11/09,18.27
100,"33,544,193","473,898,771","14,056",18.05,1/04,8.12,12/20,13.73
101,"50,841,733","601,515,696","19,407",13.95,2/21,8.71,1/06,10.96
102,"27,286,774","320,096,055","10,127",13.90,1/07,9.85,11/13,11.19
程蔼基,ら戳,程基,ら戳
69.20, 98/2/09,4.49, 89/11/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
