"2101 玭翠 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,318,810,089","96,857,690,848","484,246",99.50,5/27,35.40,1/17,68.58
81,"562,588,956","40,436,449,392","231,249",90.00,2/10,38.50,12/29,63.89
82,"563,999,948","31,044,585,506","170,469",74.00,12/15,32.30,1/08,47.55
83,"585,880,701","34,280,181,391","172,786",80.00,1/06,40.50,10/11,52.99
84,"79,392,692","5,024,957,950","25,301",93.00,2/22,37.80,9/30,61.17
85,"44,974,223","2,668,303,477","8,701",73.50,7/27,50.00,2/13,61.32
86,"201,182,986","26,198,688,849","82,156",205.00,4/24,70.00,1/04,126.04
87,"215,237,771","28,526,959,905","88,897",172.00,8/12,81.00,12/30,128.28
88,"231,482,794","18,302,985,567","92,781",122.00,3/22,37.90,11/17,82.35
89,"182,902,154","9,527,700,755","65,390",82.00,2/21,5.90,10/05,47.57
90,"282,349,854","1,808,672,983","54,843",12.85,4/27,2.64,11/05,4.91
91,"637,830,971","4,930,825,173","114,971",16.10,12/18,4.75,2/06,7.54
92,"581,326,109","12,105,321,332","138,130",28.90,12/25,11.80,3/11,19.68
93,"473,954,753","18,095,361,735","146,442",44.00,3/15,28.50,1/02,37.75
94,"443,689,114","14,927,933,350","118,200",43.50,12/30,26.60,5/18,34.09
95,"1,209,424,527","62,511,300,724","397,861",73.50,5/15,38.00,2/23,47.55
96,"1,342,459,942","72,114,007,390","479,817",68.90,7/26,32.95,12/21,52.46
97,"2,661,884,103","100,965,164,671","900,365",61.00,3/24,11.40,11/21,35.15
98,"2,561,331,970","77,983,665,023","780,481",42.50,12/31,12.50,2/02,28.36
99,"2,480,239,740","112,662,648,748","861,576",51.50,1/14,36.30,2/06,44.23
100,"1,651,752,413","82,488,220,789","656,753",62.40,7/29,42.05,3/15,47.51
101,"637,656,789","27,958,916,903","311,540",50.80,2/14,32.05,11/22,42.25
102,"463,916,242","16,699,044,910","222,677",39.40,10/07,32.80,6/25,35.58
程蔼基,ら戳,程基,ら戳
205.00, 86/4/24,2.64, 90/11/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
