"2103 倔 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,631,630,884","58,891,020,350","412,421",45.40,8/13,20.10,1/17,34.98
81,"499,859,538","16,881,566,728","125,490",40.30,1/13,22.00,12/29,30.26
82,"512,820,587","15,244,456,629","111,675",40.50,12/22,20.00,1/08,26.88
83,"1,592,416,812","76,161,697,879","344,405",62.00,8/24,32.80,5/27,43.45
84,"1,214,834,827","51,875,899,000","275,440",59.00,2/15,29.60,8/15,42.88
85,"1,173,457,682","45,975,398,845","286,349",47.20,12/03,33.00,2/06,37.64
86,"1,266,554,867","53,686,451,592","333,807",54.00,7/11,26.30,10/28,39.46
87,"889,217,706","22,215,760,937","221,743",33.20,3/03,15.70,9/04,25.02
88,"1,254,388,997","23,125,730,059","246,248",26.50,5/11,10.05,12/27,16.49
89,"666,119,105","7,476,057,644","129,562",16.80,2/21,3.10,11/22,8.72
90,"526,550,701","2,391,647,388","72,870",6.00,2/06,2.80,7/19,4.29
91,"1,727,984,727","12,763,156,521","227,612",10.45,6/21,4.38,9/30,6.76
92,"2,468,173,454","25,438,289,183","352,451",15.10,12/25,5.70,5/02,9.49
93,"1,707,779,235","23,884,625,679","280,488",17.30,3/19,10.35,8/18,13.19
94,"1,375,428,453","22,163,042,288","247,415",18.60,12/28,13.15,1/12,16.06
95,"1,359,301,111","29,050,173,915","295,896",24.90,7/07,16.75,9/14,20.86
96,"1,487,506,435","58,954,898,979","415,344",58.10,9/27,22.45,3/05,37.10
97,"1,294,038,055","51,825,621,620","459,968",57.30,5/20,19.20,10/29,38.88
98,"1,233,858,888","43,399,760,064","437,640",42.80,6/01,22.80,1/15,35.42
99,"924,504,977","44,668,051,413","365,143",68.50,12/31,36.10,2/06,47.58
100,"1,173,312,845","89,911,349,875","579,290",91.00,6/07,57.60,8/09,76.57
101,"690,665,041","48,337,209,383","388,545",81.70,2/04,51.50,11/13,68.70
102,"343,681,621","18,826,846,891","221,817",62.80,2/23,40.30,11/22,54.83
程蔼基,ら戳,程基,ら戳
91.00, 100/6/07,2.80, 90/7/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
