"2308 笷筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"620,063,228","30,455,025,256","185,258",79.00,7/06,24.10,1/17,46.10
81,"247,975,456","9,636,211,104","77,591",44.30,3/27,29.10,9/18,37.81
82,"452,176,334","24,447,550,629","110,268",83.00,12/31,36.00,1/08,52.07
83,"704,686,359","47,435,841,433","190,273",90.00,1/06,51.00,5/25,66.08
84,"938,186,058","44,580,286,293","224,142",79.50,3/30,34.00,9/02,53.88
85,"814,813,190","45,862,383,017","180,561",80.00,11/23,31.70,3/13,53.05
86,"3,341,817,160","507,605,726,890","1,109,000",235.00,7/17,70.50,1/04,144.17
87,"3,267,126,986","399,106,534,395","1,152,097",187.00,2/21,77.00,10/06,119.96
88,"3,896,510,304","511,720,000,000","1,451,912",207.00,7/05,71.00,2/03,121.11
89,"3,029,987,766","415,365,559,634","1,292,414",180.00,4/05,89.50,10/19,132.32
90,"2,582,839,640","172,706,027,040","863,194",127.00,1/17,31.10,9/24,76.75
91,"1,764,651,450","95,897,992,883","568,670",69.00,1/09,38.80,10/11,52.19
92,"1,299,653,425","56,791,011,246","398,917",49.90,8/13,33.20,3/05,43.10
93,"833,896,659","38,336,081,832","240,423",56.00,12/31,37.20,3/23,45.57
94,"1,918,945,745","109,373,336,334","570,644",70.70,12/13,48.10,6/27,55.14
95,"2,215,218,333","192,258,626,685","801,945",109.00,12/29,62.90,2/06,88.09
96,"1,596,283,679","183,821,918,239","578,027",135.00,6/22,94.40,12/17,114.83
97,"1,640,506,798","134,389,549,277","665,577",110.00,1/02,56.50,12/04,80.94
98,"2,013,644,483","153,134,414,580","867,034",103.50,12/31,50.60,2/03,77.39
99,"1,458,146,240","160,084,298,766","619,138",143.50,12/02,90.30,2/05,112.55
100,"1,817,068,292","172,880,828,873","804,541",143.00,1/03,63.00,12/05,100.36
101,"1,776,640,765","163,475,871,099","814,486",114.50,9/19,70.30,1/02,94.37
102,"1,217,132,644","165,674,048,613","563,737",171.50,12/31,102.00,1/14,136.61
程蔼基,ら戳,程基,ら戳
235.00, 86/7/17,24.10, 80/1/17
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
