"2311 らる Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"377,702,420","33,789,073,973","215,344",132.00,5/13,47.90,10/22,82.69
81,"293,254,077","14,083,780,588","118,998",72.00,1/29,27.20,9/18,46.85
82,"592,296,109","32,032,175,563","168,712",114.00,12/31,34.00,1/08,49.43
83,"903,252,726","87,433,754,641","308,404",124.00,5/12,77.50,5/19,94.72
84,"1,197,685,539","92,816,128,198","380,087",108.50,4/26,48.40,8/28,73.42
85,"2,162,729,746","109,888,193,549","520,534",87.00,5/07,36.60,7/16,52.22
86,"9,366,739,015","1,077,930,666,248","2,868,305",162.00,8/26,51.50,1/04,108.02
87,"7,313,611,707","705,794,049,282","2,445,462",193.00,4/09,46.00,9/04,92.99
88,"7,093,439,122","633,994,000,000","2,526,122",121.00,7/05,49.50,1/06,86.53
89,"4,244,948,086","354,924,812,758","1,649,563",125.50,1/17,21.90,12/30,75.98
90,"5,139,968,712","137,470,605,805","1,324,502",38.80,2/02,13.80,9/24,24.39
91,"5,613,834,277","149,098,390,366","1,292,949",39.90,4/22,15.60,10/04,25.38
92,"5,846,442,853","144,790,944,261","1,129,190",36.40,11/10,16.50,3/11,24.25
93,"5,964,102,192","169,184,851,032","1,256,082",39.80,2/02,20.50,5/17,27.71
94,"6,627,817,755","156,968,175,905","1,202,304",31.40,12/29,18.15,5/04,23.09
95,"8,829,167,189","277,756,617,612","1,783,389",39.40,5/04,26.40,7/18,31.53
96,"6,938,314,681","266,608,464,639","1,286,147",49.20,7/20,29.40,12/18,38.07
97,"6,030,971,332","135,673,361,171","1,194,215",34.70,5/20,9.60,12/04,23.47
98,"8,463,434,693","171,694,777,189","1,709,001",29.65,10/20,10.20,1/21,20.89
99,"8,066,399,176","221,944,520,072","1,872,859",35.50,12/17,21.80,8/31,27.47
100,"7,964,975,735","242,270,925,548","1,990,394",37.80,1/19,23.75,8/22,30.36
101,"6,166,788,159","159,239,816,651","1,553,093",31.20,1/31,20.05,10/26,25.61
102,"6,051,141,339","160,930,821,858","1,437,113",30.80,11/19,23.50,2/18,26.21
程蔼基,ら戳,程基,ら戳
193.00, 87/4/09,9.60, 97/12/04
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
