"2313 地硄 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"173,776,445","17,378,195,240","91,886",141.00,5/25,59.00,10/22,92.63
81,"130,425,880","7,450,487,897","51,290",81.00,1/27,41.70,8/20,56.53
82,"125,693,963","7,712,035,296","43,910",86.50,12/31,46.40,7/22,57.67
83,"239,746,185","19,359,147,016","74,708",98.50,10/15,62.50,2/25,77.58
84,"144,702,730","11,703,508,120","49,908",94.50,5/15,58.50,8/05,77.33
85,"298,350,069","22,983,842,107","79,577",98.50,11/25,45.00,7/17,66.98
86,"2,250,150,583","463,133,996,605","805,777",312.00,8/23,84.00,1/04,194.97
87,"2,240,257,725","531,045,339,244","978,582",337.00,2/24,176.00,6/30,234.48
88,"1,390,913,309","231,483,000,000","584,581",213.00,7/03,125.00,8/05,162.34
89,"1,196,006,517","215,042,600,770","453,319",228.00,4/06,114.00,11/02,174.01
90,"2,243,249,076","136,740,855,552","697,059",164.00,1/17,29.20,10/04,80.75
91,"2,195,113,926","84,494,479,948","632,451",72.00,3/26,18.20,12/20,39.37
92,"3,233,036,780","55,970,173,724","583,093",23.50,1/10,10.30,5/02,16.92
93,"4,667,127,501","65,270,111,827","659,155",21.90,2/04,9.40,7/22,13.76
94,"7,184,610,011","96,647,693,714","931,615",19.60,12/29,8.03,4/01,12.23
95,"4,685,415,642","71,607,993,598","763,109",19.35,1/04,11.25,7/17,14.74
96,"3,884,589,242","59,780,646,153","654,242",19.75,7/26,9.63,12/18,14.30
97,"2,027,553,907","19,029,134,204","344,698",12.60,5/23,3.66,11/21,8.45
98,"4,676,693,573","40,644,735,085","706,648",11.70,12/31,3.95,2/02,7.97
99,"5,278,868,722","68,795,968,264","934,067",20.90,12/31,7.59,5/25,9.99
100,"4,253,783,115","69,208,247,475","977,461",21.00,1/04,8.04,12/20,14.29
101,"3,123,242,100","39,541,765,493","675,733",15.70,3/16,9.05,1/02,12.29
102,"3,766,946,864","51,768,216,832","754,757",17.95,12/19,10.45,4/16,13.26
程蔼基,ら戳,程基,ら戳
337.00, 87/2/24,3.66, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
