"2327 瓣エ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
82,"67,142,348","4,198,876,098","18,364",89.00,12/31,51.50,10/22,63.62
83,"240,979,808","23,965,781,327","76,455",118.00,7/07,69.00,2/28,93.96
84,"1,275,213,528","90,219,868,529","368,000",122.00,5/17,44.80,11/29,75.39
85,"1,335,947,568","66,390,058,593","294,307",61.50,11/22,36.00,5/20,48.17
86,"5,569,653,754","560,263,364,189","1,600,495",152.00,7/17,52.50,1/04,92.95
87,"4,607,436,021","290,357,413,801","1,311,313",100.00,2/21,38.50,10/06,61.57
88,"8,827,156,188","288,786,000,000","2,058,578",42.90,9/30,17.40,8/07,31.02
89,"10,655,974,627","455,429,138,360","2,574,440",62.50,4/12,21.00,10/03,40.04
90,"11,574,680,617","376,976,966,293","2,329,799",53.00,3/28,16.20,9/26,32.22
91,"9,060,680,669","180,698,131,586","1,604,722",34.00,3/12,7.80,10/14,18.20
92,"9,744,952,961","123,633,959,436","1,360,228",18.80,11/14,6.35,5/02,11.69
93,"8,163,748,827","136,033,094,479","1,219,299",24.00,4/16,10.40,12/06,15.18
94,"4,669,379,858","55,109,724,869","654,512",14.80,12/29,8.59,4/20,11.38
95,"4,840,170,848","63,021,811,973","743,742",15.65,12/08,9.99,6/09,12.42
96,"4,464,594,979","62,451,940,654","675,890",16.50,6/26,9.95,12/18,13.50
97,"2,717,304,560","22,073,569,473","418,210",11.55,4/01,3.01,11/26,8.32
98,"4,646,643,358","35,738,992,024","657,735",11.95,12/28,3.72,1/21,7.55
99,"5,263,507,465","71,675,737,207","941,601",16.10,4/21,9.85,2/06,13.20
100,"3,641,870,471","49,240,206,904","645,621",15.90,1/26,7.26,12/19,12.04
101,"1,323,498,697","11,856,081,573","251,359",10.65,2/14,7.33,1/16,8.81
102,"655,788,660","6,507,410,545","161,723",10.75,12/31,8.65,1/28,9.84
程蔼基,ら戳,程基,ら戳
152.00, 86/7/17,3.01, 97/11/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
