"2329 地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
83,"134,121,220","8,572,274,967","50,885",87.50,8/09,45.00,10/11,57.92
84,"956,634,930","41,092,486,197","217,387",65.00,4/08,27.00,8/26,47.65
85,"1,292,575,208","49,814,273,674","288,692",47.00,1/04,28.70,7/08,37.33
86,"4,424,898,632","341,021,231,945","1,236,799",118.50,6/18,40.00,1/04,71.65
87,"4,481,722,028","268,403,928,106","1,181,147",101.00,4/03,26.50,10/06,53.32
88,"5,357,463,799","244,923,000,000","1,454,639",67.50,6/24,28.90,2/03,42.95
89,"3,761,869,345","163,375,566,177","1,179,592",63.50,4/10,7.25,12/13,38.23
90,"3,036,836,866","36,570,679,824","609,569",18.00,4/20,5.35,10/08,10.65
91,"3,327,130,715","40,474,129,208","616,582",17.80,4/24,4.27,10/08,10.00
92,"3,951,465,158","25,327,638,938","515,529",8.50,7/10,2.94,5/05,5.90
93,"4,556,112,260","33,236,712,382","593,409",11.10,4/14,1.64,9/21,4.65
94,"1,292,012,394","5,676,763,525","175,935",6.23,7/21,2.50,4/21,3.80
95,"1,262,615,209","6,336,619,020","172,541",8.47,12/29,2.80,9/15,4.02
96,"3,134,633,106","36,806,768,530","562,875",17.30,7/24,6.50,12/21,10.74
97,"615,585,926","3,908,907,944","130,493",9.15,4/15,2.52,11/21,5.36
98,"990,352,100","6,469,103,587","179,236",12.50,12/31,2.64,1/21,5.23
99,"750,629,194","7,034,457,965","174,410",12.70,1/04,6.75,11/16,8.73
100,"354,865,622","2,432,289,153","99,973",9.20,1/18,3.76,10/06,6.29
101,"148,528,847","667,532,450","40,920",5.90,2/16,3.79,6/04,4.35
102,"371,709,493","1,920,167,325","83,095",6.50,5/07,3.80,3/19,4.83
程蔼基,ら戳,程基,ら戳
118.50, 86/6/18,1.64, 93/9/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
