"2349 脘紈 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"178,102,061","9,616,190,381","53,482",78.50,11/25,32.10,4/23,48.78
86,"2,697,188,263","448,699,254,209","990,972",335.00,8/01,71.50,1/17,158.04
87,"2,915,714,943","420,110,671,039","1,166,569",202.00,2/19,88.50,10/06,143.39
88,"4,029,707,759","744,413,000,000","1,850,398",355.00,7/03,91.50,2/03,173.96
89,"5,581,122,384","915,621,689,819","2,584,719",330.00,4/11,47.60,12/30,154.46
90,"8,182,369,480","438,018,683,491","2,687,626",89.50,2/14,24.00,10/04,55.90
91,"5,127,514,409","151,633,301,083","1,376,816",43.20,1/10,13.00,10/08,26.61
92,"6,261,583,129","142,899,448,725","1,266,372",28.40,7/02,13.80,5/05,20.31
93,"3,988,514,758","75,839,214,722","789,890",25.90,2/23,10.75,11/02,16.68
94,"4,363,950,098","51,315,302,497","617,351",14.20,6/13,8.75,4/21,11.10
95,"3,376,543,133","31,881,577,777","488,140",11.85,1/20,6.75,8/30,8.95
96,"6,746,999,268","66,348,187,599","992,873",12.40,7/26,6.51,12/18,8.90
97,"4,719,406,731","28,603,363,130","680,510",8.95,3/10,3.45,11/20,6.24
98,"11,835,365,030","92,236,028,510","1,593,576",10.10,7/31,4.26,1/13,7.41
99,"7,486,239,493","65,643,543,115","1,053,217",9.92,8/19,7.30,2/06,8.47
100,"4,515,301,972","33,715,359,131","733,649",9.47,1/06,3.90,12/19,7.00
101,"3,189,692,874","14,140,573,928","472,825",6.11,2/14,2.62,10/29,4.17
102,"4,338,721,146","21,883,885,929","653,780",6.70,6/03,3.40,2/06,4.72
程蔼基,ら戳,程基,ら戳
355.00, 88/7/03,2.62, 101/10/29
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
