"2353 Щ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"146,460,219","8,266,438,889","47,127",67.50,11/23,37.40,9/18,57.41
86,"1,004,054,620","97,380,657,423","367,755",136.00,7/17,53.00,10/30,86.18
87,"1,053,169,332","63,520,688,711","366,914",80.00,2/20,45.00,7/04,59.46
88,"1,605,108,917","150,581,000,000","595,216",196.00,12/24,46.00,2/03,81.75
89,"1,835,879,596","271,137,984,035","793,840",241.00,3/30,44.00,12/30,139.50
90,"1,997,048,241","96,953,136,823","663,270",84.50,2/16,21.50,10/09,47.78
91,"3,245,163,663","132,209,681,979","987,474",66.00,3/25,25.00,10/08,40.48
92,"2,920,412,162","125,533,312,794","868,830",57.00,8/04,29.50,3/07,42.28
93,"1,880,964,043","93,326,104,362","577,479",55.50,3/08,41.60,5/18,49.00
94,"2,485,298,555","160,922,324,766","824,554",85.50,12/19,48.80,3/17,61.44
95,"3,824,382,238","232,825,483,100","1,242,877",85.00,1/04,41.20,8/07,60.17
96,"3,257,936,795","210,011,517,399","1,056,613",78.60,10/30,55.10,8/29,64.08
97,"4,659,552,852","258,203,412,149","1,418,321",70.30,5/20,37.00,11/21,55.51
98,"4,418,925,491","275,936,428,611","1,575,733",96.60,12/30,38.90,1/15,65.58
99,"3,656,197,814","315,315,816,155","1,437,826",105.50,1/15,71.40,5/25,86.47
100,"6,342,901,534","305,990,382,901","2,323,120",91.00,1/03,27.30,8/26,49.01
101,"4,856,901,952","152,344,673,898","1,724,157",46.15,2/16,22.30,10/29,31.58
102,"3,758,577,304","81,145,670,014","1,111,495",28.20,3/12,14.80,11/19,21.89
程蔼基,ら戳,程基,ら戳
241.00, 89/3/30,14.80, 102/11/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
