"2359 ┮霉 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"11,160,580","575,035,475","5,532",55.00,12/24,43.80,12/19,50.21
86,"820,532,468","71,677,845,196","305,787",140.00,4/26,46.50,10/30,85.13
87,"814,829,870","41,159,988,410","266,681",82.50,2/20,27.20,12/29,47.93
88,"1,868,812,119","80,121,777,101","596,035",58.00,7/12,26.10,1/06,40.61
89,"1,860,576,696","95,795,806,854","562,786",81.50,4/11,14.80,12/28,44.60
90,"2,098,480,467","38,653,307,913","433,059",29.20,3/30,9.60,9/19,17.96
91,"2,241,398,816","41,460,909,967","479,291",26.50,4/17,7.65,12/20,14.87
92,"1,699,139,279","20,871,105,463","294,923",15.90,7/08,6.85,4/28,10.75
93,"1,280,906,878","14,153,417,200","220,575",16.00,4/14,6.10,11/02,9.49
94,"585,115,287","3,414,966,488","86,960",6.90,1/03,4.02,10/18,5.62
95,"1,125,906,990","11,003,237,769","204,976",13.65,5/17,5.50,1/24,8.47
96,"2,602,978,368","53,905,582,596","571,270",31.60,8/14,9.49,3/05,18.88
97,"599,200,385","10,613,812,220","171,809",27.90,5/21,5.72,11/21,14.14
98,"532,744,476","6,203,655,855","137,621",17.00,12/22,5.68,2/02,10.67
99,"142,842,661","2,060,330,023","48,311",16.25,1/04,11.70,2/06,14.17
100,"62,437,033","769,981,203","21,688",14.80,1/13,9.05,12/19,11.87
101,"60,505,287","686,942,227","21,137",13.30,10/02,9.50,6/04,10.73
102,"56,857,558","723,640,133","19,259",13.95,5/21,11.50,3/05,12.69
程蔼基,ら戳,程基,ら戳
140.00, 86/4/26,4.02, 94/10/18
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
