"2361 翬ね Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
86,"755,360,643","72,012,403,994","285,090",199.00,4/07,45.10,10/30,101.00
87,"2,486,202,041","142,173,585,278","674,978",94.00,5/04,20.20,12/21,51.67
88,"981,326,376","17,508,498,928","264,025",26.40,3/20,8.50,11/09,16.45
89,"1,120,036,214","20,825,235,487","280,601",24.70,4/12,3.53,11/22,13.67
90,"376,496,467","2,642,486,430","82,058",10.75,3/30,3.07,10/09,6.08
91,"1,606,526,721","35,734,291,992","419,271",35.40,4/30,8.00,1/02,20.13
92,"1,536,933,588","34,435,338,486","336,190",29.40,8/15,11.60,3/11,19.43
93,"1,048,788,124","18,526,666,860","226,728",26.00,2/20,7.90,12/01,15.76
94,"782,509,266","7,033,399,901","158,079",11.60,2/17,4.01,11/09,8.18
95,"470,627,428","2,475,433,439","89,272",7.67,1/11,2.60,8/09,4.55
96,"1,873,525,192","24,909,632,023","386,476",20.00,8/07,5.60,2/09,11.44
97,"317,350,195","1,990,513,082","78,151",9.60,3/07,0.96,10/07,5.12
98,"52,865,498","358,579,986","19,818",13.20,12/02,1.15,6/26,3.58
99,"38,436,264","288,416,114","16,456",11.50,1/20,3.10,5/26,5.74
100,"4,813,389","14,643,790","3,044",5.20,4/28,1.83,12/15,2.75
101,"4,133,632","8,702,815","2,838",2.92,2/15,1.30,11/23,1.99
102,"6,671,019","12,610,974","3,686",2.66,5/31,1.29,4/09,1.80
程蔼基,ら戳,程基,ら戳
199.00, 86/4/07,0.96, 97/10/07
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
