"2363 参 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
86,"327,721,929","16,742,203,286","126,672",83.00,8/08,28.50,11/19,43.95
87,"4,748,132,294","271,824,279,079","1,187,460",86.00,4/04,34.00,1/12,55.73
88,"4,496,275,373","477,611,000,000","1,749,518",169.00,7/03,53.00,1/25,101.53
89,"6,331,788,597","652,264,251,086","2,501,602",161.00,6/12,33.80,11/21,104.21
90,"10,163,246,860","449,479,470,232","2,806,877",68.00,3/27,20.10,9/24,44.81
91,"6,611,108,871","254,607,449,129","1,867,935",59.00,1/08,21.20,12/24,37.27
92,"5,957,540,597","158,698,879,640","1,329,270",32.60,1/21,17.90,5/02,25.48
93,"3,873,909,830","74,192,508,032","797,574",27.70,2/26,10.80,11/02,17.40
94,"9,497,250,657","186,796,718,132","1,677,942",27.80,8/11,10.65,1/14,18.19
95,"4,633,429,732","84,391,794,437","1,020,819",23.20,1/04,13.95,9/15,17.05
96,"5,208,238,647","96,117,337,210","1,091,428",22.40,1/03,9.95,12/18,17.09
97,"1,859,370,190","15,686,792,292","359,719",11.80,1/02,3.07,11/21,7.91
98,"5,794,360,677","71,939,645,014","1,113,638",28.25,11/06,4.60,1/05,12.45
99,"1,599,867,563","33,695,669,797","488,542",25.75,1/18,17.00,11/09,20.30
100,"664,935,502","10,716,791,159","208,646",21.70,1/27,9.70,11/24,14.70
101,"509,957,429","5,910,717,606","163,074",14.25,3/03,8.55,6/04,10.99
102,"371,064,555","3,714,844,621","138,438",11.85,1/04,7.65,11/12,9.71
程蔼基,ら戳,程基,ら戳
169.00, 88/7/03,3.07, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
