"2367 嵇地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
86,"18,987,943","1,569,797,159","4,942",87.50,12/26,76.50,12/15,83.73
87,"786,923,803","78,664,798,370","266,755",145.00,2/27,65.00,10/14,103.87
88,"1,394,384,990","66,132,029,391","432,168",73.00,6/24,32.10,11/26,45.32
89,"1,974,682,745","82,584,431,674","594,699",61.50,4/19,9.85,12/28,33.72
90,"1,288,803,014","17,816,525,201","275,908",21.00,3/30,7.95,10/05,12.69
91,"1,462,349,570","21,254,478,953","271,676",21.40,4/25,9.70,12/20,13.60
92,"2,199,634,534","30,355,998,684","361,655",21.20,12/03,6.95,5/02,11.29
93,"2,333,661,466","46,429,018,783","473,080",24.70,4/26,11.50,12/28,17.97
94,"1,133,649,208","13,026,417,796","214,581",14.55,12/30,8.84,5/05,10.89
95,"1,464,801,997","21,402,401,686","296,588",19.10,12/18,10.20,7/18,13.70
96,"2,154,347,753","60,868,001,398","562,526",39.80,11/06,15.60,3/06,27.57
97,"589,162,642","12,405,121,427","188,739",30.65,1/02,5.20,11/21,19.60
98,"1,330,371,422","15,149,415,420","293,996",14.60,11/26,6.20,1/21,10.41
99,"1,740,557,617","27,434,035,522","421,667",23.55,12/24,9.72,5/25,13.22
100,"1,571,074,385","27,282,814,252","433,955",21.00,2/15,10.80,12/20,16.21
101,"821,644,659","10,303,050,726","220,761",15.70,3/28,7.82,10/30,11.16
102,"905,343,247","10,511,145,964","244,860",14.30,9/06,8.70,4/09,11.02
程蔼基,ら戳,程基,ら戳
145.00, 87/2/27,5.20, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
