"2369 蒂ネ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"231,370,097","14,289,747,132","89,591",93.00,4/27,38.70,12/19,56.18
88,"1,051,293,743","35,513,382,703","319,580",46.80,3/20,18.70,8/03,31.96
89,"1,326,931,746","39,871,409,901","382,918",41.40,4/11,10.70,12/28,26.30
90,"1,368,202,491","19,861,923,150","319,161",21.20,2/20,6.65,9/24,12.75
91,"1,028,206,072","15,603,669,616","226,520",19.70,4/18,6.80,10/08,11.90
92,"1,684,904,249","25,249,201,759","334,750",18.50,10/21,7.10,1/02,12.85
93,"1,936,219,218","38,567,713,639","417,393",26.80,4/13,12.90,12/01,17.64
94,"1,184,232,013","14,556,557,776","238,872",14.90,7/29,7.50,10/20,11.49
95,"901,907,485","10,176,324,772","182,807",13.70,1/04,8.40,6/09,10.46
96,"2,135,541,311","34,167,609,354","453,788",19.80,8/14,11.10,1/31,15.18
97,"447,245,236","4,922,340,598","122,502",15.50,1/02,5.03,11/21,10.29
98,"1,115,820,490","12,565,242,664","246,969",16.20,12/15,5.52,1/21,10.34
99,"2,588,442,557","52,847,878,861","698,416",25.90,12/28,13.15,2/06,19.31
100,"996,159,512","22,110,783,788","327,479",27.85,2/14,12.10,12/20,19.79
101,"814,181,196","14,465,776,609","292,174",21.65,2/22,12.80,1/02,16.48
102,"525,420,069","8,509,169,467","180,147",18.10,5/06,14.60,1/17,15.86
程蔼基,ら戳,程基,ら戳
93.00, 87/4/27,5.03, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
