"2384 秤地 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"21,134,440","1,929,519,066","9,885",95.50,12/24,83.00,12/19,91.00
88,"951,140,484","102,474,000,000","412,690",169.00,6/25,61.00,2/03,96.47
89,"1,838,846,439","222,603,599,590","741,273",227.00,4/05,46.00,12/30,116.98
90,"2,529,634,142","91,370,242,378","703,713",75.50,2/14,13.60,10/09,35.84
91,"3,627,723,511","108,561,189,580","913,658",41.20,4/17,17.30,7/03,28.27
92,"3,525,461,902","97,358,413,665","801,874",34.00,12/17,18.10,4/03,26.70
93,"4,969,429,678","185,224,436,977","1,211,611",52.00,4/22,26.50,8/04,37.01
94,"8,147,726,176","373,821,551,404","2,037,054",59.60,7/20,29.80,1/13,45.26
95,"3,545,167,581","140,028,948,212","1,089,535",59.50,1/09,26.50,6/20,36.47
96,"5,974,631,776","232,236,310,296","1,610,384",51.30,11/07,24.00,5/03,36.28
97,"5,149,284,055","113,024,177,856","1,368,296",44.70,1/02,4.83,11/26,19.93
98,"10,471,381,362","203,343,279,208","2,206,744",29.45,12/31,5.50,1/21,18.98
99,"12,095,831,851","476,870,661,097","3,420,646",62.30,12/13,20.10,5/26,35.67
100,"11,930,359,516","437,674,794,989","3,678,119",60.70,3/04,18.35,11/24,36.57
101,"9,397,133,059","175,156,298,186","2,231,331",28.30,2/16,11.15,11/01,17.73
102,"6,710,658,588","91,645,524,288","1,422,385",17.50,3/12,8.40,11/21,12.96
程蔼基,ら戳,程基,ら戳
227.00, 89/4/05,4.83, 97/11/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
