"2401 锭 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"669,131,448","109,783,158,810","325,199",220.00,4/11,114.00,10/19,163.81
90,"857,509,881","102,843,104,054","370,772",184.00,2/14,58.00,9/26,127.23
91,"1,396,992,684","124,449,927,039","534,036",141.50,3/25,53.50,9/09,92.64
92,"1,539,931,207","79,500,188,024","522,624",66.50,1/07,34.60,4/30,52.78
93,"895,730,479","53,421,592,693","307,797",82.00,4/13,40.10,8/18,58.09
94,"1,660,216,443","64,953,728,235","532,651",52.20,3/02,26.10,10/26,39.83
95,"1,641,929,379","61,773,633,793","519,277",46.50,4/21,28.45,8/29,36.04
96,"2,127,603,128","139,365,583,987","802,232",109.00,7/26,35.40,1/08,62.03
97,"1,527,722,355","43,378,519,775","593,697",50.50,1/02,9.91,11/21,28.43
98,"2,642,477,292","55,463,749,528","711,575",35.20,12/31,11.95,1/21,20.18
99,"910,638,632","24,120,363,336","307,317",35.20,1/04,20.40,11/09,25.07
100,"662,552,406","11,606,992,641","205,896",23.90,1/19,8.81,12/20,15.54
101,"439,389,276","4,511,606,916","130,717",13.25,2/16,7.61,11/22,9.64
102,"865,221,498","9,346,106,369","228,689",12.75,9/18,8.50,4/09,10.24
程蔼基,ら戳,程基,ら戳
220.00, 89/4/11,7.61, 101/11/22
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
