"2402 毅嘉 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
89,"355,606,809","54,346,612,132","163,293",270.00,3/10,66.00,1/14,146.93
90,"1,101,287,104","62,479,024,859","389,432",123.00,4/24,23.70,9/20,66.33
91,"1,223,689,506","62,822,644,034","401,905",72.00,4/17,39.80,7/26,50.98
92,"735,149,235","38,731,330,057","208,602",72.50,11/14,34.90,4/28,51.23
93,"766,622,448","49,808,420,095","234,518",92.50,4/22,40.90,11/26,63.96
94,"1,358,746,309","45,245,254,917","420,680",47.30,1/03,22.65,8/25,32.67
95,"2,431,474,562","88,969,403,909","717,728",48.50,5/22,25.00,2/27,35.60
96,"1,228,752,336","40,525,753,837","379,066",42.70,1/18,20.95,12/18,31.15
97,"407,457,932","6,677,558,360","123,671",27.30,1/15,5.75,11/21,18.17
98,"1,271,184,522","18,782,927,654","296,281",22.40,12/31,6.30,1/15,13.63
99,"809,519,435","13,542,992,011","223,115",21.90,1/04,12.95,5/26,15.99
100,"1,627,052,117","29,027,660,317","456,681",21.95,3/04,10.65,8/23,16.58
101,"1,380,639,420","24,750,718,984","433,672",25.00,2/06,10.55,11/01,15.94
102,"768,935,600","11,868,258,085","230,803",16.90,5/22,13.45,1/17,15.18
近年最高價,日期,近年最低價,日期
270.00, 89/3/10,5.75, 97/11/21
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
