"2408 玭 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"751,497,037","32,330,994,124","203,088",77.50,8/25,18.40,12/28,37.91
90,"5,933,735,625","143,422,948,796","1,167,537",40.00,3/29,7.90,10/08,21.47
91,"16,572,271,952","589,218,901,166","3,260,167",55.50,2/19,19.50,10/08,33.59
92,"9,276,365,670","230,183,902,898","1,666,009",30.60,7/08,18.40,2/14,23.05
93,"14,695,004,573","385,034,141,856","2,591,082",31.80,4/13,20.20,5/18,25.08
94,"7,919,481,755","174,589,737,678","1,394,610",26.40,1/03,15.15,10/27,21.58
95,"7,691,912,217","170,071,612,195","1,331,058",27.20,11/22,17.40,3/23,21.65
96,"5,653,224,539","145,402,703,410","1,177,620",34.00,7/10,16.45,11/28,24.94
97,"3,575,205,118","45,358,188,358","679,574",20.65,4/25,3.46,11/21,12.80
98,"4,453,270,446","45,963,090,856","713,813",32.70,12/31,4.12,6/19,12.53
99,"2,746,903,349","68,199,079,831","726,103",34.30,1/07,15.25,11/16,23.54
100,"2,004,567,976","24,203,794,352","410,159",19.30,2/08,1.80,12/16,8.98
101,"802,622,774","1,833,266,193","46,877",4.49,3/02,1.20,11/06,2.34
102,"1,188,220,320","5,639,187,286","88,709",6.58,4/24,2.48,1/02,4.27
程蔼基,ら戳,程基,ら戳
77.50, 89/8/25,1.20, 101/11/06
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
