"2420 穝エ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"206,590,440","5,536,707,425","78,568",36.60,10/16,17.00,12/28,24.83
90,"399,547,215","9,164,784,225","133,172",31.60,4/25,9.20,10/15,19.45
91,"493,034,563","13,316,074,731","154,218",36.70,5/09,18.10,1/03,26.67
92,"307,976,620","8,559,944,540","94,370",33.90,7/25,21.00,4/01,25.69
93,"124,401,495","2,923,867,467","41,216",28.00,3/05,13.50,8/18,19.90
94,"189,489,106","3,801,564,994","55,394",23.85,12/26,15.00,1/28,18.79
95,"356,757,002","10,220,101,139","113,808",38.75,12/20,20.35,1/23,25.61
96,"503,449,872","20,793,018,950","195,067",51.50,1/23,19.90,12/18,35.57
97,"78,037,594","1,340,001,208","32,127",23.70,1/02,8.03,11/21,16.28
98,"260,799,364","4,377,725,520","84,301",25.65,12/31,8.48,1/21,13.99
99,"452,080,063","11,862,192,517","165,743",30.50,3/23,21.55,2/06,25.28
100,"218,156,475","5,397,320,562","89,575",29.85,6/08,17.70,8/09,23.44
101,"135,893,777","3,177,203,581","59,420",26.10,3/22,19.60,10/30,22.39
102,"297,576,154","8,688,014,634","127,518",38.45,12/26,20.90,1/17,28.01
程蔼基,ら戳,程基,ら戳
51.50, 96/1/23,8.03, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
