"2428 砍对 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"82,231,191","2,127,750,500","28,401",36.90,10/16,13.45,12/27,22.45
90,"669,085,963","18,243,154,308","232,634",40.10,4/06,15.10,1/02,26.10
91,"303,855,295","8,454,899,729","100,353",33.70,4/22,18.80,8/06,25.26
92,"166,631,656","4,245,627,912","52,349",29.80,12/03,19.30,4/28,23.57
93,"70,926,796","1,775,421,252","24,974",28.80,3/05,17.40,8/09,22.20
94,"127,922,452","2,544,894,336","36,172",24.80,12/30,16.50,10/19,18.28
95,"357,406,822","9,073,084,745","109,214",29.20,12/06,19.55,7/17,24.27
96,"469,924,489","18,189,563,342","177,856",53.00,8/13,25.00,12/21,35.98
97,"101,103,518","2,445,307,303","43,741",30.25,5/20,10.60,11/21,21.72
98,"407,306,692","17,148,945,879","153,545",63.50,12/31,11.05,1/21,30.20
99,"209,218,549","11,131,110,383","98,115",62.60,1/15,42.70,5/26,50.35
100,"145,678,752","5,888,646,016","71,851",53.00,3/24,23.50,9/29,37.28
101,"105,024,177","3,075,912,526","49,429",33.40,3/05,25.25,7/02,28.71
102,"120,284,996","4,052,865,235","63,425",41.15,12/19,27.80,1/17,32.94
程蔼基,ら戳,程基,ら戳
63.50, 98/12/31,10.60, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
