"2442 穝霍 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
89,"29,286","1,065,028",66,37.50,11/22,27.60,12/14,33.37
90,"272,524,570","6,973,688,800","88,182",43.50,12/31,6.65,10/08,18.12
91,"1,276,757,563","39,177,660,803","364,475",55.00,2/18,11.00,10/14,28.78
92,"1,059,495,847","16,523,204,969","254,710",20.40,7/14,9.10,5/05,14.08
93,"566,353,947","6,863,873,819","118,667",16.40,3/03,5.80,9/02,10.09
94,"78,092,325","703,994,635","22,617",11.45,10/25,6.01,4/29,8.90
95,"92,148,023","920,979,230","26,226",13.15,3/01,6.30,9/28,8.66
96,"320,314,607","5,024,485,025","90,930",22.50,7/26,7.75,3/05,13.64
97,"82,130,081","560,475,708","20,563",11.50,1/02,2.73,12/24,6.81
98,"333,797,641","4,945,345,647","93,495",22.85,12/17,2.77,1/09,12.27
99,"460,574,834","6,125,035,317","121,612",22.00,1/21,7.90,8/23,13.37
100,"314,441,618","3,367,534,885","86,407",13.55,4/11,4.97,11/24,9.11
101,"68,228,671","491,714,540","23,937",8.45,2/15,5.80,1/16,6.92
102,"165,828,758","1,536,040,155","45,078",10.90,6/07,7.10,1/07,8.75
程蔼基,ら戳,程基,ら戳
55.00, 91/2/18,2.73, 97/12/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
