"2448 垂筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"35,584,088","799,594,160","14,386",32.50,5/25,11.65,10/08,17.53
91,"583,472,590","29,580,366,464","213,109",77.50,11/05,22.70,1/02,49.36
92,"832,271,236","44,463,015,163","299,744",84.50,12/17,35.00,5/05,52.04
93,"833,149,241","59,465,567,337","331,713",124.00,2/25,35.40,11/02,72.11
94,"1,627,379,933","82,910,941,040","574,376",65.50,12/02,34.50,1/19,47.99
95,"2,574,374,786","240,386,366,758","1,042,396",143.00,5/12,54.50,2/24,93.01
96,"1,863,565,344","245,954,331,007","779,178",180.00,7/24,95.20,1/08,131.29
97,"3,068,926,961","210,385,190,763","1,372,012",141.00,1/02,25.20,11/19,66.77
98,"3,642,526,151","277,908,694,072","1,541,747",124.00,10/01,28.10,1/13,81.69
99,"3,040,183,770","290,534,038,318","1,396,006",122.50,1/05,78.50,6/09,95.95
100,"2,897,205,587","230,189,743,707","1,321,482",116.50,3/08,48.00,8/09,79.41
101,"2,243,519,876","140,228,622,965","1,085,658",84.00,3/16,40.00,11/19,63.06
102,"1,869,488,388","100,529,483,994","877,160",62.90,6/10,42.55,11/13,53.34
程蔼基,ら戳,程基,ら戳
180.00, 96/7/24,11.65, 90/10/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
