"2450 福 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"494,942,789","16,183,748,576","154,440",43.20,12/18,22.50,10/08,30.29
91,"646,012,506","25,179,269,092","202,657",49.80,1/23,27.90,8/06,35.77
92,"197,636,914","5,507,625,070","61,139",32.00,7/22,19.60,10/31,26.13
93,"180,790,027","3,681,117,796","47,862",27.20,3/19,11.50,12/27,17.47
94,"536,288,197","10,002,758,445","142,407",22.60,7/19,11.35,4/18,15.51
95,"163,106,892","3,299,854,129","43,082",28.45,12/27,13.90,6/09,18.19
96,"321,669,073","14,515,652,989","107,471",63.50,8/03,28.00,1/05,45.68
97,"98,558,110","4,208,180,995","42,082",53.80,4/02,28.40,10/27,40.84
98,"243,820,034","10,827,280,201","116,292",59.00,6/02,30.50,1/21,41.73
99,"150,407,379","7,636,785,599","75,039",62.50,12/16,44.10,2/06,50.39
100,"717,522,175","82,322,498,392","434,059",190.00,7/29,57.50,1/06,104.43
101,"557,539,703","64,213,552,253","366,168",148.00,3/28,88.80,1/02,109.71
102,"114,740,022","11,155,373,579","82,123",108.00,6/14,88.50,11/21,96.09
程蔼基,ら戳,程基,ら戳
190.00, 100/7/29,11.35, 94/4/18
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
