"2453 竤 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"44,402,240","1,146,651,794","20,032",48.00,5/22,13.70,10/09,22.95
91,"100,014,996","2,180,951,871","35,690",28.80,1/10,9.90,12/25,16.61
92,"169,214,161","2,510,881,441","51,124",20.60,7/18,9.70,4/28,12.86
93,"80,837,526","1,161,496,408","23,070",16.90,2/13,9.10,7/22,11.79
94,"62,457,405","676,899,707","18,652",12.35,3/28,7.87,11/07,9.74
95,"33,134,244","259,960,416","11,061",9.18,1/06,6.28,8/29,7.49
96,"224,673,915","3,235,502,461","61,156",22.35,7/19,7.67,12/21,12.90
97,"72,182,556","749,312,969","21,879",14.40,5/08,5.88,12/24,8.73
98,"146,779,055","1,922,368,410","42,581",18.60,12/15,6.00,1/10,9.41
99,"382,670,345","6,469,069,037","134,608",20.00,3/23,13.10,11/16,15.68
100,"124,371,644","1,506,384,762","47,425",14.70,1/13,8.59,8/22,11.63
101,"122,417,309","1,461,157,739","42,403",14.40,2/09,9.31,6/04,11.07
102,"232,859,695","3,314,434,822","81,684",17.80,12/26,10.85,7/23,12.61
程蔼基,ら戳,程基,ら戳
48.00, 90/5/22,5.88, 97/12/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
