"2459 窗 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"136,157,315","6,939,915,059","55,211",64.50,12/13,31.20,9/19,46.52
91,"231,198,124","12,578,905,559","103,204",72.00,1/31,34.50,12/31,49.98
92,"239,304,295","12,230,905,447","90,914",62.00,8/19,35.60,1/02,47.71
93,"124,960,894","5,477,797,201","49,423",58.00,3/04,24.60,11/29,39.15
94,"718,136,347","29,658,537,419","246,519",51.00,12/27,24.50,1/20,38.23
95,"730,865,511","34,324,655,687","288,913",62.70,5/03,36.00,6/21,44.61
96,"299,566,605","11,182,964,096","129,309",44.80,7/10,21.80,12/18,35.35
97,"87,139,689","1,764,226,310","36,657",28.30,4/23,9.30,11/21,19.21
98,"177,701,991","3,126,121,558","58,438",24.70,12/31,10.45,2/03,16.73
99,"189,137,615","5,554,529,310","70,493",38.00,12/27,19.80,2/06,26.29
100,"153,593,492","5,127,429,485","67,525",40.00,4/27,24.30,11/24,30.97
101,"57,191,280","1,549,656,532","27,983",31.45,2/22,23.00,10/22,25.87
102,"124,968,231","3,635,544,688","59,572",34.20,11/29,24.30,1/21,27.92
程蔼基,ら戳,程基,ら戳
72.00, 91/1/31,9.30, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
