"2462 ▆眔筿 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"34,219,844","606,567,837","9,097",20.30,12/31,13.50,10/04,16.67
91,"148,997,450","3,650,417,098","47,036",37.00,3/11,17.10,10/01,23.45
92,"112,785,412","2,317,094,523","30,521",24.50,7/02,14.30,9/09,18.83
93,"55,372,736","1,000,462,790","17,623",20.90,2/02,10.75,10/21,14.98
94,"81,371,973","1,113,410,471","22,834",16.25,7/21,9.85,10/28,12.23
95,"134,995,696","2,223,549,161","42,071",20.30,12/21,12.75,9/14,15.25
96,"321,942,959","7,625,880,819","87,672",28.90,6/27,16.10,12/21,22.12
97,"48,692,974","667,119,987","17,628",19.40,4/07,9.56,11/21,14.80
98,"675,532,949","26,273,667,845","260,742",61.40,9/08,10.55,1/21,34.27
99,"285,636,152","14,455,560,319","124,788",61.90,4/12,29.00,11/11,43.40
100,"99,965,038","3,092,837,961","46,272",39.80,3/28,20.85,8/11,28.75
101,"103,177,893","3,291,549,449","52,312",35.45,3/09,23.60,1/03,31.31
102,"39,205,275","1,114,674,512","22,612",32.20,3/11,23.00,8/30,27.90
程蔼基,ら戳,程基,ら戳
61.90, 99/4/12,9.56, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
