"2467 в竧 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"131,314,590","3,128,236,062","42,897",32.70,12/18,15.10,10/16,20.84
91,"189,519,555","4,897,120,258","68,986",32.90,4/02,15.10,12/31,22.95
92,"404,431,634","8,449,532,264","128,149",36.90,8/05,10.20,5/02,16.93
93,"320,233,751","6,595,300,886","88,375",27.10,4/16,16.10,8/09,19.31
94,"218,274,861","3,945,666,619","57,836",20.25,8/10,14.60,10/28,17.41
95,"277,257,315","5,760,174,355","81,446",27.10,12/13,16.70,7/26,19.61
96,"222,715,862","5,491,098,838","74,886",27.70,1/26,15.15,12/18,23.19
97,"50,912,171","805,876,311","20,961",19.85,5/22,8.31,10/28,14.77
98,"221,202,939","3,173,184,466","64,647",20.70,12/31,8.02,2/24,11.80
99,"599,963,405","13,946,525,951","186,850",28.00,9/21,15.85,2/06,22.02
100,"415,605,020","10,975,118,170","153,506",31.15,6/17,15.20,12/20,23.84
101,"157,910,368","3,305,244,775","67,788",23.80,3/23,16.50,1/02,20.11
102,"129,424,251","2,687,527,211","51,381",22.25,3/28,18.40,1/02,20.53
程蔼基,ら戳,程基,ら戳
36.90, 92/8/05,8.02, 98/2/24
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
