"2483 κ甧 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"54,498,004","1,584,127,589","22,470",36.50,12/13,19.80,10/08,26.58
91,"125,147,369","4,167,531,340","52,977",44.10,1/11,19.00,10/08,29.57
92,"175,965,677","4,723,106,177","70,031",34.30,7/29,19.20,4/01,23.67
93,"57,850,974","1,276,904,770","22,851",27.50,3/05,15.40,11/02,20.05
94,"40,822,832","732,204,827","13,100",20.00,3/14,15.30,10/20,17.32
95,"182,743,750","4,233,609,784","57,484",29.20,11/30,17.00,3/27,19.89
96,"122,612,115","3,082,354,597","44,571",28.50,3/30,15.50,12/18,23.11
97,"40,352,100","580,390,912","14,185",18.25,4/21,7.20,11/24,12.76
98,"86,405,396","1,180,913,898","28,126",18.90,12/30,7.05,2/02,10.94
99,"159,304,902","3,081,125,495","54,639",22.70,9/10,13.70,2/06,17.81
100,"103,714,896","1,920,309,303","38,101",22.15,1/28,9.25,12/20,15.15
101,"17,187,090","202,834,940","6,129",13.85,3/27,9.49,11/30,11.34
102,"141,402,004","2,356,056,420","52,830",22.60,12/24,10.40,1/21,13.55
程蔼基,ら戳,程基,ら戳
44.10, 91/1/11,7.05, 98/2/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
