"2501 瓣 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"1,133,017,041","101,013,598,233","463,815",122.00,5/14,50.00,1/17,83.63
81,"417,923,539","28,149,634,936","162,646",86.00,1/17,40.00,8/20,62.38
82,"1,359,629,192","72,284,892,816","362,406",71.50,3/06,38.00,1/08,47.24
83,"1,418,707,062","74,491,871,779","349,293",66.50,1/07,39.50,11/30,49.72
84,"833,040,937","28,731,276,243","194,738",46.40,1/09,27.00,8/11,34.55
85,"2,030,437,710","92,383,306,807","433,011",55.00,7/02,30.30,1/29,43.83
86,"1,782,681,304","84,126,605,662","435,718",58.50,3/21,31.00,10/29,44.22
87,"1,503,354,718","36,031,070,222","299,879",38.60,3/02,16.00,9/03,25.85
88,"1,411,232,807","24,873,469,105","268,023",22.60,4/22,10.10,12/24,16.00
89,"1,179,481,846","12,969,606,973","180,710",17.00,2/21,7.00,10/13,9.99
90,"677,614,113","5,626,407,678","105,915",11.00,2/21,6.15,7/19,7.86
91,"1,157,808,741","10,512,196,528","135,380",11.75,4/25,7.10,10/04,8.36
92,"2,303,215,252","27,013,822,739","312,455",15.40,10/14,7.50,1/02,10.31
93,"2,712,011,050","49,070,270,993","460,303",22.80,2/18,12.70,1/02,17.71
94,"1,057,269,771","15,374,114,235","218,369",20.00,3/02,9.66,10/20,14.56
95,"1,921,705,503","40,026,222,268","420,742",28.20,5/10,12.85,1/23,19.87
96,"971,491,915","18,297,014,196","235,204",23.70,1/02,13.30,12/21,18.23
97,"2,460,243,396","41,562,152,121","559,701",30.55,4/14,5.90,10/28,15.77
98,"2,786,806,666","34,732,193,420","556,423",16.20,5/25,5.92,3/04,11.85
99,"2,825,773,457","44,040,970,180","584,795",19.20,10/14,10.65,5/25,14.47
100,"1,300,430,157","19,824,317,220","326,648",20.20,1/04,9.34,12/20,14.01
101,"1,046,469,446","13,939,196,608","259,899",15.00,9/25,10.10,1/13,13.03
102,"1,108,494,907","21,690,839,194","375,621",25.80,8/06,14.05,1/28,19.07
程蔼基,ら戳,程基,ら戳
122.00, 80/5/14,5.90, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
