"2505 國揚 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"968,308,359","32,394,821,364","326,912",46.90,4/29,17.40,1/17,32.96
81,"573,382,314","16,747,111,034","189,194",35.90,1/28,17.50,12/29,26.53
82,"1,073,574,522","22,176,057,559","247,411",29.80,3/12,14.85,9/16,19.23
83,"936,663,411","17,077,421,136","177,030",23.10,1/10,14.30,10/11,17.64
84,"799,594,392","10,952,276,300","117,616",18.10,1/06,9.00,8/15,13.36
85,"1,255,772,391","30,963,208,282","202,844",44.00,12/24,13.25,1/06,24.51
86,"1,845,550,225","117,738,710,091","282,993",78.50,7/12,41.00,1/04,62.86
87,"1,922,784,253","119,247,774,148","271,820",82.00,4/09,21.30,11/19,57.33
88,"332,676,269","1,079,877,960","27,389",19.90,7/06,1.78,11/10,4.67
89,"275,854,129","1,488,720,753","43,747",10.70,2/22,0.91,12/12,3.57
90,"518,624,939","1,063,617,378","51,995",3.44,4/09,0.97,1/02,1.74
91,"1,552,095,220","6,283,692,108","147,238",8.75,7/22,1.43,1/02,3.56
92,"1,289,710,012","6,407,321,222","141,427",6.90,11/07,2.70,3/11,4.57
93,"1,970,694,929","22,273,518,829","331,241",16.60,11/16,6.00,1/02,11.06
94,"488,781,151","6,296,220,657","115,360",17.40,1/07,7.98,4/18,11.46
95,"814,776,965","15,958,849,133","176,241",35.80,12/08,8.90,2/23,15.41
96,"1,429,244,727","37,554,748,032","358,222",34.75,7/26,12.65,12/21,24.13
97,"1,464,609,818","27,426,139,796","334,433",33.45,4/15,6.68,11/21,17.50
98,"2,128,764,734","33,863,730,230","425,058",21.70,6/08,6.12,3/03,14.44
99,"3,011,938,883","69,121,533,268","789,331",26.80,4/15,16.50,1/04,22.06
100,"851,293,066","16,719,845,099","252,271",25.65,1/05,8.71,12/20,17.73
101,"794,370,801","10,967,971,895","203,814",17.30,12/26,10.00,1/13,13.05
102,"856,930,775","16,615,105,720","236,577",22.45,7/17,15.70,1/17,19.32
近年最高價,日期,近年最低價,日期
82.00, 87/4/09,0.91, 89/12/12
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
