"2506 び砞 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"2,011,687,722","93,485,086,241","548,797",61.00,6/24,22.20,1/17,45.05
81,"1,278,245,936","50,427,328,644","295,541",52.50,1/21,23.00,12/29,38.15
82,"1,413,858,064","37,139,838,557","298,313",33.00,4/07,19.80,9/16,24.55
83,"1,634,610,479","43,052,857,134","308,531",31.30,1/06,21.50,10/11,25.32
84,"2,487,580,389","61,273,947,806","387,493",31.40,1/07,16.00,8/14,21.91
85,"3,189,672,334","80,328,780,930","502,461",29.80,6/25,17.70,3/06,23.84
86,"4,048,229,710","111,587,150,763","668,985",34.00,3/20,18.50,12/01,25.68
87,"1,412,365,005","23,526,743,394","243,074",23.10,4/14,10.35,9/03,16.37
88,"1,524,064,566","15,032,885,249","221,592",12.90,4/19,5.85,12/18,8.93
89,"3,560,790,329","38,199,974,530","439,041",16.10,3/06,3.40,12/28,8.50
90,"1,699,960,541","7,954,996,707","206,911",6.80,2/21,3.00,11/29,4.34
91,"3,864,501,169","11,423,627,317","279,203",6.05,4/25,0.83,11/11,2.84
92,"2,381,449,128","3,325,324,812","116,694",5.70,12/30,0.44,5/23,1.22
93,"875,802,855","3,415,587,535","88,483",7.25,2/11,1.10,12/21,3.32
94,"532,430,741","1,110,110,931","51,293",3.28,3/16,1.14,11/01,1.92
95,"1,781,047,761","9,069,218,303","205,303",9.82,12/05,1.73,1/24,3.75
96,"1,393,757,600","9,864,684,553","217,926",10.45,7/26,3.32,12/27,6.18
97,"144,266,657","548,223,483","17,545",5.89,4/17,1.87,12/19,3.53
98,"103,175,764","378,678,617","14,379",5.00,12/09,1.60,3/03,3.35
99,"152,383,732","850,773,141","19,535",6.87,3/29,4.10,10/12,5.09
100,"126,857,164","749,812,095","24,937",10.00,11/25,4.06,8/11,5.27
101,"112,213,103","1,021,072,090","37,803",10.35,3/15,7.65,11/22,8.74
102,"152,393,823","1,491,680,047","40,260",11.00,10/14,7.95,1/09,9.46
程蔼基,ら戳,程基,ら戳
61.00, 80/6/24,0.44, 92/5/23
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
