"2509  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"538,185,451","61,936,878,992","242,651",190.00,5/14,49.80,1/16,107.23
81,"300,441,369","25,706,022,034","151,814",113.00,1/25,45.90,12/29,82.03
82,"316,083,326","18,894,821,090","136,924",81.50,4/03,37.60,1/08,55.63
83,"373,983,354","31,295,496,322","94,872",123.00,9/21,55.00,1/05,80.02
84,"217,466,163","8,923,166,704","57,828",71.00,1/18,26.40,8/05,43.04
85,"327,787,622","11,285,516,442","81,916",44.90,12/10,26.80,3/13,34.07
86,"369,746,419","18,616,376,441","111,423",110.00,4/15,30.00,12/01,48.92
87,"424,733,251","15,796,515,047","122,573",48.80,3/13,23.00,12/22,33.25
88,"88,238,063","1,484,522,473","26,045",28.50,1/05,9.55,2/06,15.35
89,"46,073,338","592,287,589","13,492",17.50,4/19,6.30,12/29,11.01
90,"16,387,942","103,254,890","5,077",8.30,2/21,4.10,10/03,5.74
91,"15,673,010","125,739,076","5,828",10.40,4/25,3.82,11/06,6.52
92,"22,438,138","103,341,656","7,003",5.95,1/16,2.86,5/26,4.43
93,"347,484,420","2,400,616,961","56,163",10.10,3/16,3.49,8/18,6.21
94,"56,287,805","475,274,392","13,557",10.80,12/30,5.00,10/28,7.45
95,"407,109,328","7,776,831,641","106,101",34.15,12/11,7.55,1/23,15.69
96,"630,215,720","24,443,517,776","216,017",60.40,9/19,22.10,2/08,37.06
97,"496,026,123","15,675,996,052","176,785",49.50,4/15,8.64,11/21,26.14
98,"445,830,688","11,009,403,779","149,158",32.90,6/05,8.85,3/03,21.91
99,"461,394,609","13,015,863,213","149,459",34.30,12/02,22.95,6/07,26.29
100,"172,208,638","4,339,728,045","62,783",33.00,1/05,14.65,12/20,22.95
101,"79,405,123","1,593,315,842","30,770",22.35,5/04,16.90,1/13,19.80
102,"91,180,024","2,031,500,927","34,006",26.80,11/25,18.60,4/08,21.46
程蔼基,ら戳,程基,ら戳
190.00, 80/5/14,2.86, 92/5/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
