"2528 炊 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
84,"41,939,648","1,721,842,858","14,632",49.50,3/13,22.00,11/10,36.11
85,"241,643,106","7,820,550,775","57,382",39.80,12/26,22.00,3/13,28.51
86,"621,194,009","26,388,923,813","126,906",64.50,4/25,24.40,10/29,40.41
87,"553,462,270","21,121,176,804","91,001",48.10,4/10,20.30,12/03,36.08
88,"343,498,868","5,935,884,731","49,751",26.20,2/23,2.54,12/10,18.83
89,"322,730,070","1,533,866,212","50,868",10.00,2/22,0.99,12/29,2.99
90,"516,170,896","572,645,996","38,308",2.50,2/21,0.39,11/30,0.95
91,"1,204,229,941","2,003,972,576","74,529",4.10,4/30,0.61,1/02,1.40
92,"695,700,519","835,114,637","36,598",2.14,1/28,0.28,5/26,0.73
93,"213,736,729","179,241,539","8,986",1.59,2/20,0.28,12/02,0.60
94,"78,716,125","58,768,595","2,870",0.93,1/18,0.47,12/12,0.71
95,"35,085,647","97,072,252","4,608",5.44,12/13,0.43,2/20,2.56
96,"11,707,643","42,921,227","2,823",4.47,7/25,2.10,11/07,3.45
97,"3,189,485","6,580,026",609,3.99,3/14,0.74,12/10,2.37
98,"13,105,892","27,429,505","1,790",3.31,10/22,0.55,3/12,1.98
99,"26,284,989","134,767,738","4,018",24.35,11/01,2.21,1/06,9.53
100,"4,755,075","87,775,024","2,858",23.00,1/05,8.89,11/28,15.96
101,"4,003,082","38,599,104","1,928",11.85,2/16,7.78,7/31,9.52
102,"39,261,976","535,290,473","10,086",17.50,5/22,8.86,1/22,12.39
程蔼基,ら戳,程基,ら戳
64.50, 86/4/25,0.28, 93/12/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
