"2534 Щ脖 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"493,589,655","21,096,168,617","68,205",51.00,4/23,33.30,7/17,42.43
86,"549,879,773","28,876,958,851","90,567",62.00,4/08,41.20,10/30,51.64
87,"660,945,056","33,096,708,821","91,673",65.00,3/27,33.80,12/21,47.26
88,"430,750,694","10,963,107,675","63,592",36.00,1/05,17.60,8/07,24.54
89,"425,560,215","10,239,083,558","93,506",38.50,2/09,7.25,12/28,19.63
90,"126,582,316","1,148,263,795","25,504",14.10,2/21,4.50,12/03,7.76
91,"369,733,119","2,726,520,643","44,995",10.85,4/25,3.58,10/08,6.04
92,"3,377,532,423","40,559,190,019","420,706",19.50,10/15,3.71,3/13,8.11
93,"5,890,762,506","106,473,689,871","982,589",27.00,3/16,12.40,5/11,17.15
94,"2,984,552,676","56,957,928,621","524,971",25.90,12/26,14.20,2/21,18.39
95,"3,950,474,085","96,220,698,563","755,605",30.40,5/10,18.20,3/24,23.17
96,"1,299,454,911","32,514,508,678","325,531",28.30,7/26,20.00,12/18,24.35
97,"1,711,036,690","43,561,690,325","480,166",36.80,4/21,5.50,11/21,20.11
98,"1,503,579,567","20,218,805,262","323,395",16.90,5/26,5.90,3/03,12.60
99,"1,636,654,551","30,463,735,433","401,179",21.75,1/19,15.35,5/25,17.95
100,"542,387,496","9,458,827,718","148,800",21.45,1/06,11.60,12/20,15.87
101,"292,380,531","4,584,946,880","75,449",17.70,9/24,12.70,1/13,15.21
102,"1,296,475,403","30,768,640,495","376,157",30.30,7/25,16.80,1/02,23.86
程蔼基,ら戳,程基,ら戳
65.00, 87/3/27,3.58, 91/10/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
