"2538 膀 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
85,"80,148,128","3,522,474,562","21,522",50.50,12/31,32.50,11/01,43.99
86,"281,076,430","16,604,428,852","69,438",78.00,8/06,41.80,11/17,56.59
87,"587,540,419","22,978,159,877","97,636",68.00,3/13,23.10,12/30,43.37
88,"268,072,212","5,175,884,865","51,103",24.80,1/05,11.70,12/28,18.04
89,"75,386,139","989,000,138","15,580",18.30,2/11,4.80,11/24,11.52
90,"65,413,493","301,715,614","9,674",9.85,2/20,1.99,11/06,5.23
91,"285,472,357","1,364,580,472","31,482",8.90,4/22,2.00,8/12,3.33
92,"1,078,434,140","7,289,731,671","126,728",10.25,12/29,2.55,5/02,5.58
93,"1,317,132,211","13,305,668,556","201,228",13.95,3/15,5.35,8/19,8.54
94,"231,754,692","1,548,012,323","37,188",8.20,1/03,5.40,4/21,6.49
95,"1,944,424,014","33,824,908,421","367,892",29.00,12/01,6.69,3/16,13.41
96,"1,463,303,506","45,700,998,512","371,201",45.95,7/12,16.15,12/21,29.54
97,"1,293,768,862","23,759,439,256","331,690",31.70,4/15,5.42,11/21,15.93
98,"1,206,450,335","16,938,413,110","268,367",20.30,10/19,5.54,3/02,13.21
99,"1,200,894,089","21,663,095,776","295,224",24.50,12/31,13.45,5/25,16.30
100,"1,049,696,444","20,159,627,268","299,175",26.10,1/03,11.70,12/20,17.49
101,"631,648,733","10,768,785,476","192,968",21.60,11/12,12.30,1/05,16.54
102,"492,667,166","10,662,403,572","165,120",24.00,5/22,19.75,12/16,21.21
程蔼基,ら戳,程基,ら戳
78.00, 86/8/06,1.99, 90/11/06
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
