"2543  Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
88,"9,646,401","148,009,391","3,348",18.00,10/15,12.50,12/27,14.71
89,"38,788,672","584,942,389","11,338",19.30,2/21,4.16,12/29,11.15
90,"18,444,623","105,209,097","4,295",7.45,2/21,2.66,10/08,4.57
91,"254,218,335","2,145,359,849","43,312",11.10,4/25,4.47,1/31,7.09
92,"284,836,909","2,893,907,189","55,332",14.65,12/29,4.83,5/05,8.15
93,"511,134,919","7,450,347,067","112,083",18.00,4/20,9.30,11/29,13.32
94,"142,033,742","1,579,915,333","32,405",12.80,6/08,6.54,11/03,9.94
95,"563,461,696","6,796,074,986","111,984",15.30,12/26,7.00,2/27,9.41
96,"431,897,476","5,777,736,151","94,206",17.25,7/20,7.30,12/21,12.04
97,"401,166,022","3,671,220,117","92,494",13.60,4/21,3.31,10/28,7.52
98,"283,197,164","1,806,933,364","61,512",8.05,5/26,3.90,3/04,6.10
99,"262,256,820","1,878,230,739","53,424",9.06,1/21,5.69,11/15,6.54
100,"124,314,803","883,363,212","29,956",8.34,5/18,5.20,12/20,6.76
101,"37,464,620","226,433,702","10,529",7.20,12/05,5.13,10/26,5.79
102,"43,118,042","342,801,541","12,522",9.00,5/31,6.16,1/02,8.04
程蔼基,ら戳,程基,ら戳
19.30, 89/2/21,2.66, 90/10/08
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
