"2607 篴笲 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"217,807,410","17,552,568,925","102,868",103.50,5/01,59.00,1/17,77.65
81,"625,484,122","73,905,037,729","189,895",173.00,12/28,81.50,1/04,116.46
82,"368,291,953","42,650,877,277","164,117",210.00,1/18,62.50,10/09,104.32
83,"215,013,454","14,253,303,945","98,244",82.00,1/06,53.00,10/11,62.68
84,"178,113,020","7,789,652,578","62,229",60.00,1/05,28.50,8/15,43.57
85,"571,515,773","31,770,409,117","179,418",73.00,9/21,38.80,7/19,51.86
86,"359,453,544","23,815,612,847","144,837",91.00,2/15,43.90,10/17,61.43
87,"537,341,696","25,771,537,459","162,631",65.50,4/03,27.10,9/01,47.95
88,"181,562,620","6,670,333,622","71,504",45.50,5/05,20.60,12/28,33.97
89,"162,803,317","3,697,428,417","58,508",33.50,1/28,9.55,11/21,20.26
90,"295,827,876","3,398,365,923","72,744",16.00,2/22,6.00,7/19,10.15
91,"726,954,432","10,893,719,282","160,699",24.90,1/18,8.30,10/01,14.32
92,"2,574,788,839","32,463,634,915","422,127",17.50,1/16,8.80,5/02,11.66
93,"3,080,559,690","46,795,267,551","455,641",19.00,3/19,10.45,8/09,14.06
94,"1,538,309,700","21,140,654,117","207,279",16.00,1/03,10.50,10/26,12.93
95,"1,568,691,437","25,837,417,426","267,520",19.65,12/08,12.30,1/23,15.48
96,"1,367,802,278","25,413,629,406","243,069",22.35,7/19,13.35,12/21,17.42
97,"4,535,274,989","107,429,544,276","1,184,146",35.40,4/14,10.70,10/28,21.70
98,"4,003,166,544","104,540,828,285","1,117,289",35.10,5/25,14.50,1/21,25.35
99,"1,677,305,390","44,931,798,696","524,681",31.20,1/11,21.00,5/25,25.68
100,"917,852,215","20,655,418,521","305,131",30.90,1/04,13.00,12/20,21.69
101,"1,373,706,689","24,944,120,099","372,662",21.80,9/20,13.70,1/02,16.86
102,"838,981,088","16,869,507,112","245,187",21.70,1/08,18.10,6/21,19.62
程蔼基,ら戳,程基,ら戳
210.00, 82/1/18,6.00, 90/7/19
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
