"2608 篴 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"262,401,897","30,040,293,744","117,006",165.00,6/22,75.50,1/10,110.20
81,"426,616,440","50,025,156,391","183,621",156.00,1/25,77.00,9/29,111.09
82,"434,195,753","40,929,176,536","154,478",123.00,3/25,68.00,9/16,88.86
83,"458,795,694","33,156,623,396","149,781",89.00,1/11,50.50,10/11,70.48
84,"405,596,191","15,844,127,412","108,238",62.50,1/05,26.50,8/15,42.17
85,"1,086,267,699","45,071,830,003","273,051",48.40,11/15,31.00,2/07,39.64
86,"1,327,233,083","79,095,144,921","416,949",88.50,3/11,33.70,10/20,56.15
87,"1,309,415,393","51,231,520,559","359,291",55.00,4/07,23.60,12/29,34.59
88,"601,356,144","11,749,532,822","156,023",25.70,4/28,10.10,11/08,17.37
89,"1,307,592,999","25,244,426,436","274,759",28.70,2/21,7.40,11/02,15.18
90,"622,056,981","4,706,658,588","107,733",12.60,2/20,4.60,9/19,7.26
91,"1,269,766,107","11,382,153,585","190,847",12.45,3/26,5.00,9/30,7.70
92,"1,455,900,306","11,221,471,926","209,132",9.80,10/15,4.50,5/02,6.88
93,"2,731,694,690","31,022,117,414","420,393",15.40,2/17,7.15,5/18,9.82
94,"923,334,907","8,940,928,511","166,216",11.55,1/04,5.75,10/20,8.50
95,"1,310,452,599","17,028,779,710","217,282",22.50,12/29,6.42,3/14,11.87
96,"1,349,120,628","28,401,078,684","307,348",30.70,1/10,11.00,11/13,19.09
97,"1,084,667,717","19,466,620,500","282,550",22.40,4/18,10.45,10/28,16.55
98,"807,507,778","14,563,483,640","212,853",24.00,10/12,10.80,1/21,17.71
99,"703,621,542","20,204,524,465","197,995",38.40,8/24,20.10,1/27,25.70
100,"335,359,085","10,832,832,922","106,111",37.30,5/10,26.50,3/15,31.29
101,"167,794,972","6,666,464,537","53,038",49.45,12/28,30.80,1/02,37.39
102,"258,378,771","10,951,377,128","64,858",49.70,1/03,33.50,6/17,41.83
程蔼基,ら戳,程基,ら戳
165.00, 80/6/22,4.50, 92/5/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
