"2611 в獺 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
82,"45,564,185","3,158,462,016","15,593",75.00,12/17,48.10,10/28,67.44
83,"176,176,592","11,134,610,779","49,587",79.00,1/15,46.40,11/02,60.12
84,"179,752,731","5,503,498,090","46,815",51.50,1/05,20.40,8/15,36.49
85,"260,792,351","6,412,396,494","72,858",28.90,1/04,21.40,7/13,23.86
86,"257,800,086","6,950,717,000","61,360",34.70,3/20,19.40,7/29,24.14
87,"122,492,623","3,582,984,829","32,399",38.20,4/18,22.20,1/14,28.57
88,"354,400,116","10,197,404,236","45,696",40.00,6/30,12.65,11/30,27.83
89,"195,091,614","2,888,157,889","40,717",20.50,2/15,6.65,11/20,11.51
90,"67,470,406","423,500,003","13,457",9.05,2/21,4.00,10/31,5.97
91,"229,360,689","1,760,022,836","31,849",9.40,4/26,4.99,1/02,7.38
92,"107,130,223","803,010,667","22,156",9.00,1/16,6.00,5/02,7.15
93,"237,209,532","2,289,531,391","46,546",11.75,2/11,6.50,8/18,8.52
94,"54,283,077","456,285,464","11,658",9.55,6/23,7.21,10/19,8.18
95,"654,755,966","9,341,043,466","121,177",20.25,12/11,7.70,1/19,12.03
96,"355,266,539","7,370,830,787","84,663",26.00,7/18,15.30,12/18,19.85
97,"152,394,939","3,192,510,886","39,756",26.65,4/15,10.05,11/19,17.79
98,"61,711,004","883,753,427","18,196",16.75,4/13,10.20,1/16,13.50
99,"412,227,837","6,392,436,109","117,608",18.75,4/23,11.40,5/25,14.16
100,"84,186,803","1,115,895,071","27,465",15.95,1/03,9.10,11/25,12.29
101,"268,601,166","4,076,113,212","72,247",17.05,3/03,10.00,1/16,14.32
102,"121,711,474","1,719,180,713","23,661",16.10,4/02,10.40,11/21,13.62
程蔼基,ら戳,程基,ら戳
79.00, 83/1/15,4.00, 90/10/31
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
