"2704 國賓 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
80,"658,436,568","37,149,590,684","242,264",71.50,2/21,38.60,10/22,51.99
81,"832,277,103","43,933,912,551","214,634",66.00,2/11,32.00,12/29,47.80
82,"1,442,054,960","73,234,216,053","382,200",65.00,3/05,28.50,1/08,47.24
83,"739,757,417","40,661,565,293","214,213",73.50,1/07,39.00,10/11,51.53
84,"661,169,996","21,611,337,569","158,637",48.10,1/05,22.50,8/15,33.30
85,"1,254,412,253","48,180,619,274","277,211",49.50,12/05,26.30,1/29,37.39
86,"1,287,154,202","50,098,767,592","284,495",55.00,3/18,24.50,12/01,36.71
87,"1,588,590,209","53,073,986,103","306,965",44.70,7/04,19.30,12/29,29.79
88,"358,698,167","6,631,667,330","80,191",23.40,4/27,11.15,12/20,16.64
89,"314,654,085","3,673,515,067","51,821",18.50,2/21,6.20,9/19,10.81
90,"352,805,373","2,986,322,327","35,615",10.45,2/09,7.00,11/19,8.26
91,"560,784,234","4,894,045,669","58,382",10.10,12/11,7.15,10/14,8.26
92,"917,433,632","9,285,094,543","79,544",13.40,1/27,6.80,5/02,9.61
93,"657,945,459","12,237,058,469","76,758",24.20,4/06,11.90,1/05,17.81
94,"1,503,960,740","40,204,434,837","253,722",33.80,12/27,18.30,1/25,25.29
95,"1,725,238,575","56,622,247,958","355,070",37.60,6/29,24.00,2/22,31.47
96,"824,216,328","29,485,824,727","193,819",40.80,2/09,24.60,12/21,33.72
97,"1,454,395,386","61,928,608,182","492,636",62.40,5/23,17.05,10/28,40.78
98,"1,393,687,800","50,369,670,720","511,527",45.40,4/10,26.05,2/04,35.28
99,"673,251,422","28,874,810,115","269,301",54.50,10/05,31.05,5/21,41.13
100,"432,716,210","18,106,751,224","195,562",50.20,1/03,26.55,12/20,40.15
101,"321,740,459","10,527,564,891","141,720",41.20,2/24,26.90,7/18,32.54
102,"129,285,513","3,806,618,819","53,253",32.50,1/07,27.40,11/06,29.28
近年最高價,日期,近年最低價,日期
73.50, 83/1/07,6.20, 89/9/19
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
