"2705 せ褐 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"241,664,188","27,305,257,174","126,067",162.00,6/24,64.00,10/23,107.88
81,"438,275,062","49,813,526,083","216,817",155.00,6/26,65.50,12/29,104.51
82,"415,400,569","38,378,172,935","170,851",126.00,5/11,53.50,1/08,88.52
83,"786,552,654","102,965,211,231","279,920",212.00,6/27,77.00,3/19,126.71
84,"273,067,883","25,423,882,124","115,749",132.50,1/06,48.50,8/14,84.11
85,"293,250,762","27,247,792,643","128,884",111.00,6/19,67.00,2/28,87.91
86,"596,887,521","64,564,135,744","249,090",144.00,4/24,66.00,10/28,103.11
87,"555,392,874","48,240,938,833","244,402",110.00,1/05,48.70,9/04,78.50
88,"280,457,029","14,372,763,414","126,295",70.00,1/05,22.00,12/28,46.69
89,"306,399,288","6,881,527,974","113,930",36.70,1/27,7.90,12/01,20.53
90,"411,154,631","5,168,448,375","109,587",19.60,2/20,7.60,10/09,11.93
91,"573,105,776","6,829,212,802","121,250",16.10,4/30,6.70,10/14,10.61
92,"510,251,785","4,864,580,148","99,919",13.30,1/27,5.65,5/02,9.01
93,"1,119,348,957","17,301,848,665","224,886",22.80,2/18,9.70,8/19,13.49
94,"2,301,014,011","41,891,984,651","502,934",23.40,6/07,13.50,2/21,17.71
95,"1,230,019,084","28,344,906,358","331,998",27.60,5/15,16.80,3/20,22.31
96,"439,062,301","9,312,790,856","134,808",25.85,3/03,13.85,12/18,20.13
97,"1,446,879,072","32,103,728,834","457,231",33.40,4/15,8.28,10/28,19.85
98,"1,494,856,651","27,068,753,117","421,507",23.10,7/30,10.40,3/03,17.20
99,"859,583,771","17,079,235,368","256,606",22.55,8/17,15.65,5/25,19.41
100,"983,872,250","20,186,428,357","311,981",25.25,6/27,14.50,8/22,19.69
101,"557,167,238","10,098,427,205","186,239",21.50,2/24,13.80,11/22,17.04
102,"203,049,847","2,842,103,947","69,293",16.50,1/02,11.40,11/26,13.72
程蔼基,ら戳,程基,ら戳
212.00, 83/6/27,5.65, 92/5/02
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
