"2706 材┍ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"107,656,640","8,999,333,590","50,162",118.00,7/05,56.50,10/22,75.16
81,"177,665,770","13,494,559,148","77,422",103.00,2/10,43.00,12/29,72.43
82,"276,968,886","15,076,502,636","105,824",68.00,4/07,38.30,1/08,52.46
83,"159,805,475","8,770,545,369","56,707",72.00,1/10,39.80,10/11,50.16
84,"482,476,810","19,230,282,187","124,458",54.00,12/18,22.50,8/15,37.36
85,"315,543,531","17,467,214,121","97,989",66.50,3/22,45.20,1/05,55.96
86,"107,621,518","8,463,945,708","24,458",93.00,12/31,61.00,1/13,77.26
87,"53,297,822","6,256,202,403","12,957",145.00,11/30,84.00,5/27,112.11
88,"30,161,006","4,470,922,739","9,829",216.00,4/30,119.00,3/15,155.34
89,"23,015,171","2,895,829,854","6,866",149.00,9/06,101.50,12/30,133.26
90,"34,484,427","3,328,047,736","6,855",108.00,4/25,89.00,12/13,96.80
91,"111,514,547","3,318,661,886","32,671",107.00,3/13,14.80,10/15,65.30
92,"39,318,977","685,217,578","14,042",20.30,1/16,13.80,5/05,16.93
93,"48,658,890","1,031,566,633","16,128",26.60,2/09,16.30,8/18,18.83
94,"78,567,951","1,829,930,155","30,076",27.90,6/14,17.00,4/21,21.70
95,"125,125,327","4,247,659,993","54,548",40.20,5/09,20.80,3/29,30.13
96,"54,173,308","2,039,144,501","26,497",45.90,7/24,26.00,12/18,35.20
97,"78,890,281","2,650,080,340","42,788",44.60,6/10,14.80,10/28,29.33
98,"221,168,069","6,049,569,312","85,619",34.00,5/22,16.70,3/03,24.90
99,"245,197,143","7,150,687,794","105,604",35.60,9/06,22.80,5/25,27.93
100,"83,751,013","2,274,191,505","42,400",33.95,1/03,17.70,12/20,25.38
101,"61,841,609","1,224,239,957","26,645",21.90,9/24,17.95,6/07,19.63
102,"34,217,146","662,464,738","17,240",20.60,1/10,18.50,9/03,19.31
程蔼基,ら戳,程基,ら戳
216.00, 88/4/30,13.80, 92/5/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
