"2816 玂 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
81,"99,389,978","16,076,150,195","61,466",224.00,6/16,79.00,5/05,155.65
82,"225,962,411","21,200,217,427","119,125",124.50,3/05,66.50,9/07,85.94
83,"544,305,530","72,563,654,553","251,642",175.00,8/30,89.00,11/23,127.95
84,"166,665,100","10,612,707,750","78,993",102.50,1/05,43.00,8/14,65.80
85,"246,478,764","13,939,276,238","98,252",68.00,4/16,45.00,9/04,54.10
86,"279,120,720","14,413,580,828","103,177",63.00,3/21,31.70,12/01,48.07
87,"203,216,552","6,174,821,836","72,090",41.00,3/16,20.80,9/01,30.41
88,"211,088,339","4,433,613,127","65,511",28.30,5/17,9.90,11/08,18.69
89,"295,773,150","4,118,149,885","67,179",23.10,2/22,3.73,11/22,11.23
90,"88,430,304","871,602,581","21,183",13.20,12/19,7.40,1/12,9.92
91,"59,304,131","821,044,448","13,903",16.40,8/23,11.70,2/21,13.66
92,"66,196,030","832,882,124","18,063",15.70,1/27,10.10,12/31,13.36
93,"624,641,573","7,756,009,773","114,628",17.70,3/10,8.20,8/18,10.93
94,"162,986,639","1,259,200,291","36,186",9.90,1/04,5.37,10/28,7.43
95,"224,699,407","1,322,041,455","41,328",7.10,12/27,4.88,7/27,5.70
96,"939,235,905","3,372,072,606","78,953",28.60,10/30,1.88,8/23,6.02
97,"64,420,812","932,439,690","24,339",19.00,12/17,6.50,10/27,13.11
98,"240,394,618","6,141,705,549","105,318",37.30,11/04,12.50,3/04,23.85
99,"267,972,234","5,841,017,191","102,612",32.00,1/04,16.55,11/29,21.31
100,"258,601,521","4,690,365,476","95,282",24.75,8/01,11.10,12/20,16.52
101,"110,248,287","1,371,378,668","42,282",15.70,12/19,9.61,7/24,12.38
102,"154,249,045","3,048,590,963","59,146",24.50,12/30,14.00,4/29,17.52
程蔼基,ら戳,程基,ら戳
224.00, 81/6/16,1.88, 96/8/23
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
