"2836 蔼动蝗 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"226,487,000","5,780,321,547","53,951",31.90,5/18,17.60,12/31,24.96
88,"682,118,022","13,098,340,002","135,663",23.90,5/15,10.50,12/23,17.00
89,"676,982,228","9,578,592,012","97,054",19.40,2/21,6.10,11/21,12.39
90,"1,396,050,787","20,460,987,906","212,571",19.30,12/18,9.05,1/02,13.83
91,"1,288,617,467","22,122,936,917","204,082",19.70,4/22,13.00,10/07,16.42
92,"1,302,457,391","23,910,269,087","215,188",23.30,1/24,14.10,8/12,16.79
93,"1,418,186,825","33,183,406,195","266,650",27.70,3/04,18.10,1/02,23.37
94,"429,561,405","9,332,256,780","101,604",25.70,1/17,17.65,12/12,21.11
95,"588,123,288","9,333,549,601","109,504",19.10,12/27,12.60,9/14,14.96
96,"985,392,544","19,007,222,012","192,433",24.00,9/03,15.05,12/26,18.31
97,"620,503,284","9,263,897,365","133,812",20.60,4/16,5.70,10/28,12.88
98,"383,435,734","3,619,317,192","81,463",11.95,5/25,5.77,3/03,9.12
99,"668,851,131","8,427,502,434","133,515",16.40,12/31,9.60,5/25,11.82
100,"354,392,992","4,353,473,694","96,632",17.00,1/03,8.18,12/20,12.00
101,"186,776,785","1,702,315,472","49,203",10.15,2/14,7.91,6/04,8.87
102,"103,710,574","986,438,493","28,568",9.93,3/12,9.01,6/21,9.49
程蔼基,ら戳,程基,ら戳
31.90, 87/5/18,5.70, 97/10/28
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
