"2837 窾蝗 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
87,"117,396,172","1,466,969,835","15,479",16.20,6/29,10.00,12/29,13.07
88,"374,391,481","4,412,875,576","57,619",14.20,4/21,7.10,12/17,10.32
89,"271,327,196","2,000,022,006","48,053",12.80,2/10,3.07,11/20,6.96
90,"230,268,434","1,221,743,397","32,012",7.45,12/31,4.03,1/02,4.99
91,"2,414,148,699","28,077,001,380","322,530",14.45,12/30,6.40,3/19,10.15
92,"4,425,187,528","67,515,539,947","589,217",19.10,11/18,11.65,3/11,15.12
93,"1,561,504,305","27,639,809,515","209,434",25.10,4/07,12.70,6/29,17.10
94,"542,495,433","7,842,540,441","71,686",16.65,7/19,11.90,10/28,14.39
95,"396,548,958","5,225,619,285","54,979",14.95,1/24,11.20,9/29,13.26
96,"2,155,085,978","12,148,857,718","173,547",16.15,7/20,2.00,12/03,8.02
97,"314,487,717","914,832,926","25,040",5.25,9/12,1.65,8/26,2.66
98,"394,974,643","1,505,779,694","73,812",5.78,6/08,1.30,3/26,3.25
99,"349,826,660","2,301,335,144","81,849",9.51,1/28,4.00,1/08,6.81
100,"208,218,358","1,602,534,943","67,005",9.90,1/04,5.02,10/04,6.94
101,"306,197,176","2,482,950,508","80,256",9.86,12/28,5.70,1/11,7.92
102,"185,355,449","2,462,456,002","66,386",20.50,3/01,9.45,1/04,14.59
程蔼基,ら戳,程基,ら戳
25.10, 93/4/07,1.30, 98/3/26
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
