"2882 瓣 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
90,"13,803,000","795,165,500","3,952",59.50,12/31,55.50,12/31,57.00
91,"1,924,399,219","88,572,606,459","533,911",58.50,1/02,34.50,12/17,45.10
92,"5,370,810,855","253,019,719,436","1,069,757",58.50,10/22,36.30,1/02,43.93
93,"6,679,216,406","405,813,768,650","1,263,535",68.50,3/02,51.00,1/02,60.56
94,"3,260,180,119","198,828,697,618","598,062",65.00,1/03,55.50,4/21,60.83
95,"4,343,531,836","293,414,164,540","911,349",78.50,5/10,57.10,3/30,66.40
96,"6,245,067,135","471,854,565,588","1,608,263",94.30,7/26,63.50,12/21,74.33
97,"10,963,129,861","714,425,279,718","2,804,480",87.60,3/24,28.10,11/21,61.79
98,"13,948,244,363","583,663,463,684","3,652,317",62.40,10/19,24.00,3/09,46.28
99,"5,398,165,366","270,210,945,741","1,613,947",61.20,1/11,42.75,6/09,50.02
100,"6,212,863,592","262,806,967,661","1,853,860",55.40,1/13,28.00,12/20,41.59
101,"4,398,032,628","138,457,535,869","1,276,377",37.00,2/10,27.80,6/04,30.96
102,"6,114,398,451","248,806,507,269","1,751,692",48.85,12/31,31.15,1/09,41.03
程蔼基,ら戳,程基,ら戳
94.30, 96/7/26,24.00, 98/3/09
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
