"2905 坝︽ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"273,296,618","19,118,764,377","131,003",88.00,5/02,48.00,1/17,67.13
81,"295,331,859","23,591,868,075","122,385",108.50,2/29,50.50,12/29,72.22
82,"372,214,279","21,234,090,639","124,209",67.50,4/07,45.00,8/07,53.41
83,"483,237,258","29,294,222,473","158,136",69.50,10/03,49.00,7/09,59.10
84,"177,047,559","8,129,601,493","58,341",63.50,1/06,33.20,8/25,46.07
85,"280,246,095","12,004,055,491","74,464",48.20,6/14,37.70,1/05,41.35
86,"553,043,525","25,955,662,465","139,445",56.00,8/25,40.00,1/29,46.34
87,"261,420,253","9,738,861,786","69,883",45.10,1/03,25.10,9/01,34.89
88,"286,230,745","9,627,944,918","81,834",41.50,6/09,23.00,11/26,31.73
89,"314,193,091","10,114,917,705","91,297",41.70,2/17,13.55,11/21,25.51
90,"376,885,794","7,863,413,287","114,953",26.40,4/02,14.30,7/25,19.56
91,"211,009,424","4,235,491,020","62,144",24.80,1/11,13.10,10/14,18.17
92,"340,840,494","3,711,858,342","72,257",15.70,1/03,6.80,5/02,9.69
93,"403,787,384","6,116,730,762","82,552",19.30,2/12,9.80,8/06,12.64
94,"185,331,426","1,598,474,237","42,620",13.20,1/04,6.20,9/23,8.57
95,"498,568,878","4,978,665,729","83,066",13.65,12/11,6.15,3/30,8.20
96,"930,178,564","17,069,231,969","208,235",28.15,7/26,11.50,1/15,17.75
97,"575,794,116","11,217,733,580","170,959",27.30,3/06,6.20,10/28,15.36
98,"492,862,593","7,033,125,326","130,465",17.95,11/10,8.01,3/03,13.07
99,"796,839,141","16,575,541,680","257,075",25.95,11/09,13.60,5/07,18.91
100,"781,310,382","23,519,883,595","345,829",42.80,7/28,19.35,3/16,27.73
101,"436,077,193","12,023,365,740","215,660",35.40,2/29,19.50,5/28,26.95
102,"193,071,118","4,593,280,326","99,453",28.20,1/11,19.70,8/22,23.50
程蔼基,ら戳,程基,ら戳
108.50, 81/2/29,6.15, 95/3/30
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
