"2906 蔼狶 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
80,"607,861,420","23,275,707,977","181,685",48.50,5/07,20.60,1/17,36.94
81,"451,575,594","19,868,896,558","129,732",63.00,2/07,23.10,12/29,41.96
82,"543,666,510","18,449,653,149","149,479",39.00,4/08,20.50,1/08,33.46
83,"925,397,146","33,309,945,890","202,129",48.20,1/18,29.50,3/14,35.10
84,"463,186,107","13,374,670,022","104,732",38.50,1/05,18.10,8/15,28.35
85,"727,321,405","18,121,126,098","153,769",28.50,5/18,20.50,3/06,24.27
86,"1,393,116,583","45,531,443,086","260,554",39.70,4/26,25.60,1/04,31.71
87,"688,619,430","19,511,488,440","139,328",35.80,3/04,19.00,12/31,26.35
88,"288,864,330","4,406,337,785","64,743",19.80,5/05,9.30,12/28,14.37
89,"519,680,386","5,113,812,602","80,402",15.40,2/21,4.81,11/21,8.63
90,"197,495,597","1,310,269,830","29,797",7.70,12/17,5.10,1/02,6.49
91,"613,681,320","5,623,387,166","87,871",10.80,4/25,7.05,1/17,8.62
92,"373,194,474","3,545,599,004","54,442",10.80,1/22,8.50,4/28,9.28
93,"461,689,939","5,495,159,822","76,589",14.30,2/09,9.65,1/02,10.97
94,"118,387,898","1,246,397,554","22,939",11.65,6/27,8.90,10/24,10.31
95,"90,034,950","912,550,587","21,922",11.10,12/29,9.07,8/01,9.98
96,"304,028,643","3,690,861,634","53,008",14.40,7/19,9.70,3/05,11.39
97,"111,359,842","1,241,135,048","23,800",13.50,5/16,6.66,10/13,10.58
98,"69,000,203","606,479,596","19,120",11.35,12/30,6.50,3/04,8.19
99,"230,216,198","3,230,779,687","57,593",16.45,4/30,10.05,2/05,13.45
100,"168,112,705","2,618,377,929","49,534",18.70,8/04,12.80,12/19,14.40
101,"65,940,155","903,396,355","23,635",15.80,3/28,10.25,11/22,13.10
102,"39,396,728","444,813,883","10,921",11.90,6/19,10.50,9/11,11.22
程蔼基,ら戳,程基,ら戳
63.00, 81/2/07,4.81, 89/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
