"2908 疭 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
82,"445,918,789","25,219,013,060","141,124",66.50,4/03,39.50,2/18,55.97
83,"492,685,872","24,477,230,946","120,474",78.50,1/12,38.30,10/11,48.90
84,"348,341,985","10,778,677,667","76,612",43.90,4/28,18.70,8/29,29.42
85,"320,258,196","6,981,780,141","68,929",26.00,4/20,18.10,3/13,21.53
86,"489,784,156","12,109,197,742","98,148",32.30,4/28,17.70,10/28,23.50
87,"1,341,299,044","40,429,850,952","323,385",37.50,5/22,19.50,1/12,27.25
88,"937,366,088","23,409,372,254","216,956",31.80,5/11,14.90,2/05,23.85
89,"989,920,648","26,720,752,645","233,382",35.00,5/06,13.35,11/21,23.86
90,"1,290,734,855","31,093,870,822","284,299",30.90,6/14,15.70,9/19,23.21
91,"907,118,549","24,121,662,085","210,266",33.60,6/13,22.00,8/06,26.07
92,"762,182,194","15,169,966,400","153,243",28.40,1/24,15.50,8/04,21.34
93,"384,650,001","7,681,493,527","79,521",22.90,2/26,16.40,6/15,19.18
94,"254,880,058","5,671,815,095","55,681",26.10,10/06,19.30,5/25,22.30
95,"267,583,915","5,482,429,809","65,852",25.10,4/25,15.95,11/06,20.71
96,"597,232,172","12,368,276,758","130,371",25.40,8/01,17.40,3/09,20.00
97,"168,265,782","3,054,886,113","43,112",21.00,1/17,13.50,12/04,17.96
98,"372,298,687","6,075,560,957","79,854",18.70,12/16,14.10,1/21,15.57
99,"1,137,572,272","23,940,374,223","288,690",26.60,10/06,15.30,2/06,20.31
100,"836,791,038","19,737,483,178","237,709",28.30,8/01,18.85,11/24,22.45
101,"259,063,411","5,415,827,357","74,368",22.60,11/05,18.80,6/04,20.84
102,"236,223,662","5,331,173,661","55,864",24.00,8/01,21.35,4/16,22.60
程蔼基,ら戳,程基,ら戳
78.50, 83/1/12,13.35, 89/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
