"3003 健和興 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
91,"199,480,909","7,599,919,470","65,088",48.00,6/03,30.50,10/07,37.95
92,"213,645,683","8,377,653,578","73,193",46.10,7/16,29.00,3/11,36.52
93,"46,764,758","1,503,597,462","20,399",39.90,2/10,26.40,7/22,30.90
94,"35,565,666","894,321,726","14,873",29.95,4/01,15.90,10/24,22.88
95,"165,308,495","5,298,379,054","53,037",47.40,12/27,16.90,1/23,24.09
96,"115,574,819","4,433,162,037","42,365",46.60,1/02,23.10,12/19,35.44
97,"38,194,533","785,014,459","13,928",26.85,1/02,10.55,12/31,19.60
98,"82,400,267","1,783,586,883","30,667",31.50,12/28,10.50,1/20,16.97
99,"212,754,129","7,451,972,964","83,821",41.25,4/22,25.50,2/06,32.30
100,"80,080,306","2,399,105,615","34,237",35.15,1/14,16.75,11/28,25.26
101,"115,764,421","2,904,158,522","37,913",28.20,9/12,19.80,11/22,24.10
102,"189,881,560","5,450,466,308","85,279",36.80,12/27,19.90,4/09,24.61
近年最高價,日期,近年最低價,日期
48.00, 91/6/03,10.50, 98/1/20
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
