"3015 簙 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"24,206,598","1,550,202,325","9,312",69.50,10/28,57.00,10/17,64.01
92,"160,344,553","9,210,147,145","41,454",64.50,7/30,49.50,4/28,55.80
93,"225,810,580","12,193,630,372","52,668",69.00,2/26,34.70,7/22,50.86
94,"202,989,042","7,934,920,784","73,259",49.00,7/15,30.10,11/08,39.08
95,"483,928,874","20,274,009,485","114,059",51.20,11/24,32.70,7/26,40.83
96,"602,639,779","31,041,180,426","226,515",65.00,7/09,34.30,12/18,48.73
97,"134,228,385","3,688,308,125","56,679",38.90,1/02,14.25,12/24,27.46
98,"439,816,840","13,431,645,822","168,280",42.00,12/30,14.00,2/05,26.94
99,"193,086,337","7,779,066,929","89,431",44.60,1/04,36.05,5/25,39.33
100,"102,675,752","3,181,703,687","41,489",39.35,1/27,21.00,8/22,29.84
101,"99,134,728","2,761,729,143","50,892",31.35,3/15,23.30,1/17,26.94
102,"97,904,488","2,711,399,300","46,194",30.70,8/26,24.90,7/22,27.24
程蔼基,ら戳,程基,ら戳
69.50, 91/10/28,14.00, 98/2/05
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
