"3016 嘉晶 年度成交資訊(元,股)"
年度,成交股數,成交金額,成交筆數,最高價,日期,最低價,日期,收盤平均價
91,"4,984,087","71,976,991","3,711",16.80,12/24,13.00,12/30,14.91
92,"18,141,798","262,979,804","8,146",17.00,6/10,11.40,8/28,14.08
93,"27,414,623","421,922,352","8,742",18.50,4/21,11.10,11/05,13.74
94,"695,174,771","15,458,371,568","222,506",38.00,7/29,11.30,5/04,17.48
95,"760,114,254","25,042,871,909","333,313",45.00,11/09,17.60,2/24,31.38
96,"803,447,593","65,263,157,981","450,377",164.50,7/26,36.60,12/21,74.71
97,"320,292,412","9,144,940,835","166,340",45.00,4/10,11.05,12/05,28.03
98,"576,806,042","18,986,021,359","278,852",42.00,12/10,12.05,1/21,29.69
99,"326,988,458","11,536,363,773","173,922",42.55,8/25,26.55,5/25,33.25
100,"207,342,406","6,225,590,527","112,876",38.30,3/03,10.65,11/24,25.33
101,"152,953,598","2,610,488,830","75,851",23.45,2/23,9.80,10/30,14.99
102,"176,059,687","2,384,661,329","72,201",16.45,12/31,10.60,8/28,12.79
近年最高價,日期,近年最低價,日期
164.50, 96/7/26,9.80, 101/10/30
說明：          1. 本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。
