"3019 ㄈ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"100,651,997","16,343,723,681","59,379",199.00,12/03,120.00,10/11,155.28
92,"353,465,213","72,514,149,655","199,755",250.00,12/08,151.00,4/28,193.03
93,"316,958,983","69,900,249,835","199,992",331.00,4/20,124.00,7/20,214.44
94,"493,500,633","103,777,301,333","277,193",251.00,7/13,155.00,1/14,205.46
95,"644,768,231","101,776,676,330","353,993",233.00,1/06,128.50,12/13,155.02
96,"558,785,368","74,583,327,876","278,884",163.00,7/06,75.50,12/21,130.97
97,"469,964,620","26,678,170,411","251,592",94.60,4/17,29.05,11/21,61.79
98,"1,356,645,472","71,657,474,159","608,144",72.80,12/31,34.10,3/03,48.97
99,"1,183,132,114","72,594,477,084","571,097",78.00,1/06,43.50,5/26,55.59
100,"1,391,671,789","79,529,303,520","678,832",78.50,3/11,20.95,12/20,46.16
101,"901,754,381","27,672,568,124","411,645",38.90,3/03,22.55,1/31,29.17
102,"584,855,658","18,312,564,887","266,512",35.90,5/30,26.80,1/17,30.24
程蔼基,ら戳,程基,ら戳
331.00, 93/4/20,20.95, 100/12/20
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
