"3024 拘羘 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"739,062,970","33,580,359,411","219,222",52.50,10/28,37.20,10/14,45.08
92,"1,397,030,344","49,664,225,476","390,067",48.20,1/03,22.60,5/02,34.78
93,"735,064,715","24,299,272,968","212,291",41.40,3/05,20.00,11/02,28.39
94,"2,133,610,768","57,670,415,151","518,320",32.90,3/15,20.60,1/14,25.38
95,"819,301,919","18,174,363,589","233,038",30.55,1/04,15.00,9/14,20.52
96,"1,015,729,121","18,725,349,595","272,606",22.00,1/11,10.00,12/18,17.04
97,"266,872,885","2,928,954,539","72,548",14.70,1/21,4.03,11/21,9.91
98,"973,574,515","10,723,707,058","212,338",15.45,12/17,4.85,2/23,8.69
99,"516,379,406","6,308,713,668","130,618",15.35,1/04,10.05,5/27,11.66
100,"403,850,150","4,179,867,172","91,014",12.60,7/20,5.36,11/25,9.82
101,"116,028,370","999,410,593","36,125",10.70,3/02,6.51,11/01,7.94
102,"110,646,082","746,413,615","33,272",8.00,5/31,5.71,8/16,6.51
程蔼基,ら戳,程基,ら戳
52.50, 91/10/28,4.03, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
