"3029 箂滁 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"20,309,823","305,585,738","5,863",17.60,8/27,12.00,10/07,14.41
92,"82,660,878","1,103,157,944","24,304",15.00,3/18,11.10,8/29,13.01
93,"158,470,532","2,318,915,012","46,122",19.90,4/06,7.40,10/27,12.11
94,"169,342,611","1,969,702,314","38,100",14.60,6/10,6.55,1/13,10.87
95,"109,894,321","1,152,422,846","34,151",13.20,6/01,8.01,4/12,9.70
96,"249,136,415","3,149,669,621","62,394",16.10,6/25,7.80,12/21,11.60
97,"90,475,787","900,703,127","23,963",14.30,5/26,5.00,11/21,8.92
98,"435,640,092","7,123,408,847","131,007",24.80,12/16,5.65,2/25,10.21
99,"1,022,194,331","33,317,585,443","433,126",43.20,4/07,21.60,1/08,31.42
100,"281,975,896","6,542,109,924","141,423",29.90,1/07,13.10,12/20,21.99
101,"176,042,558","3,228,334,940","79,269",23.75,3/02,11.80,11/21,16.50
102,"235,499,797","3,846,378,375","97,713",19.70,12/19,12.90,7/05,14.94
程蔼基,ら戳,程基,ら戳
43.20, 99/4/07,5.00, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
