"3032 岸癡 Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"26,967,880","808,539,186","11,996",40.90,9/17,24.30,12/20,30.50
92,"117,560,943","2,325,778,860","38,298",27.50,1/14,13.90,11/06,19.89
93,"283,969,771","4,495,968,956","53,294",24.40,4/19,9.70,11/08,15.62
94,"210,916,661","4,173,909,805","60,535",28.20,2/03,13.20,10/27,18.29
95,"213,408,806","4,105,133,233","64,120",23.30,5/24,14.30,9/15,17.78
96,"227,313,556","4,626,516,066","72,213",25.40,7/26,16.05,12/18,19.76
97,"41,100,773","655,660,359","17,293",21.00,4/24,6.62,11/21,14.15
98,"70,656,581","847,568,474","23,305",16.35,12/31,6.30,1/21,10.20
99,"95,838,946","1,511,455,555","31,164",18.05,4/01,12.95,2/06,15.12
100,"22,941,342","267,768,847","9,713",14.60,1/17,7.00,12/20,11.43
101,"22,422,988","189,740,073","9,128",9.85,3/20,7.18,6/04,8.15
102,"77,619,816","950,592,632","26,747",14.95,7/02,8.19,2/26,11.34
程蔼基,ら戳,程基,ら戳
40.90, 91/9/17,6.30, 98/1/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
