"3040 环ǎ Θユ戈癟(じ,)"
,Θユ计,Θユ肂,Θユ掸计,程蔼基,ら戳,程基,ら戳,Μ絃キА基
91,"80,980,549","3,334,471,560","36,385",51.00,9/16,31.20,10/14,39.70
92,"179,152,606","4,876,721,942","66,052",38.70,1/23,20.60,10/01,26.32
93,"118,685,594","2,790,738,501","38,647",30.30,3/05,12.70,11/03,18.85
94,"74,046,256","1,082,013,593","20,729",17.20,3/25,9.42,11/04,13.40
95,"65,367,130","889,531,754","19,508",17.45,12/25,11.00,3/29,12.50
96,"252,879,883","5,480,604,344","72,163",31.60,7/26,14.80,1/11,20.33
97,"73,662,151","935,417,594","22,423",18.90,5/09,7.20,11/21,12.68
98,"89,689,356","1,069,308,090","26,020",15.70,10/19,7.50,2/11,10.75
99,"96,781,537","1,359,097,177","30,186",16.70,12/29,10.50,5/26,13.22
100,"61,075,060","957,653,712","18,259",18.60,4/06,12.05,3/17,14.74
101,"69,706,668","1,082,767,192","28,046",19.00,3/19,12.10,1/30,14.52
102,"98,773,973","1,640,295,911","34,461",19.15,5/28,13.85,4/08,15.88
程蔼基,ら戳,程基,ら戳
51.00, 91/9/16,7.20, 97/11/21
弧          1. セ参璸戈癟箂絃﹚基筪肂ユぃ╃芥夹潦
